Time,A1,A17,A21,B3,B7,B11,,,,,,,,,,
57:08.4,634543.75,1005470.25,26836.8184,7280.22705,7607.52686,6645.84033,,,,,,,,,,
57:14.3,631347.563,997712.313,27250.3906,7335.04297,7655.89795,6700.6499,,,,,,,,,,
57:20.3,627915.75,998241.875,27874.4648,7452.7417,7715.55762,6829.61914,,,,,,,,,,
57:26.2,624636.437,1023171.63,28269.5117,7963.06787,7998.54297,7027.91357,,,,,,,,,,
57:32.2,595828.75,996516.187,27440.6074,7783.28027,7705.8833,6923.12305,,,,,,,,,,
57:38.2,607112.375,980011.75,27872.8535,7873.57715,7701.04687,6948.11182,,,,,,,,,,
57:44.2,627292.563,995387.25,28905.0547,7870.35254,7690.56641,6970.68164,,,,,,,,,,
57:50.2,617096.375,988444,27246.3496,6159.8291,7196.39111,4343.54932,,,,,,,,,,
57:56.1,554028.75,888147.437,25346.2832,7755.06201,7789.729,6358.90234,,,,,,,,,,
58:02.1,596660.25,965842.625,28378.8047,7634.93848,7395.50586,6562.82031,,,,,,,,,,
58:08.1,607609.125,968006.062,29272.6426,7667.99072,7604.30176,6495.91992,,,,,,,,,,
58:14.0,618032.875,976595.75,30548.1055,7829.23389,7705.8833,6688.56055,,,,,,,,,,
58:20.0,626702.75,984858.625,31297.3437,7776.82959,7704.271,6692.59033,,,,,,,,,,
58:25.9,632804.062,992963,31977.8164,7823.58838,7686.53271,6805.43555,,,,,,,,,,
58:31.9,631517.75,1002228.56,32554.6855,7872.77002,7709.1084,6925.54102,,,,,,,,,,
58:37.9,640896.062,1006533.88,33110.5508,7882.44531,7747.00049,7044.03564,,,,,,,,,,
58:43.9,645266.75,1013336.69,33592.7266,7937.26953,7739.74463,7075.47412,,,,,,,,,,
58:49.9,652370.813,1007568.44,34027.1289,7867.12695,7774.41162,7045.64795,,,,,,,,,,
58:55.9,651421.75,1004746.62,34556.4063,7866.32031,7780.05469,6937.63281,,,,,,,,,,
59:01.9,654361.938,1015069,35014.3984,7813.10889,7772.79785,6967.45654,,,,,,,,,,
59:08.0,653466.375,1011240.06,35384.0664,7803.43408,7782.47266,6924.73486,,,,,,,,,,
59:14.0,651047.812,1004022.06,36034.3047,7917.92041,7885.6709,7064.99512,,,,,,,,,,
59:19.9,651688.937,1012128.38,36366.7617,7952.58984,7849.3916,7123.8418,,,,,,,,,,
59:25.8,653816.875,1011096.5,36625.4219,7906.63135,7837.29687,7044.84229,,,,,,,,,,
59:31.8,653740.938,1017732.94,37124.9766,7981.61426,7872.77197,7168.17822,,,,,,,,,,
59:37.7,664100.938,1025403.5,37596.1875,7935.6582,7863.90332,7092.40332,,,,,,,,,,
