Time,A1,A17,A21,B1,B7,B11
47:52.1,990185.25,1061459,197142.641,16464.207,11238.3594,8449.29687
47:58.2,997297,1056956.25,196964.219,16400.3965,11218.9902,8392.84961
48:04.2,997808.75,1046939.88,196525.469,16570.8086,11346.4639,8375.91797
48:10.2,991331.313,1057882,198311.578,16744.459,11410.2031,8538.7959
48:16.3,1006747.69,1062520.25,199190.187,16751.7266,11392.4531,8477.51563
48:22.2,1009246.06,1060565.75,198499.188,16777.5723,11372.2832,8541.21582
48:28.2,1014065.19,1067757.13,198873.594,16838.9551,11369.0537,8574.27441
48:34.1,1018949.31,1073464.5,199285.672,16851.8789,11354.5312,8587.17676
48:40.0,1024561.88,1077232.13,199526.031,16852.6816,11356.9512,8569.43555
48:46.0,1027839.19,1078822.62,199575.5,16841.3809,11361.7939,8562.18164
48:52.6,1023231.56,1072592.62,199222.031,16783.2285,11309.3525,8536.37793
48:58.7,1019417.44,1064309.63,198830.844,16505.3906,11237.5479,8380.75586
49:04.6,1015256.69,1055872.87,198451.437,16490.8516,11214.958,8342.05273
49:10.7,1011291.69,1052619.87,197875.187,16594.2285,11211.7295,8311.41309
49:16.6,1000511,1057255,198286.453,16546.582,11218.1855,8317.86426
49:22.7,995404.375,1058120.5,198117.266,16525.582,11190.7559,8344.47266
49:28.7,1009453.25,1068134.5,198778.125,16621.6934,11173.0068,8389.62598
49:34.7,1011372.81,1071512.88,198953.109,16664.4941,11187.5254,8450.09863
49:40.6,1010391.25,1068464.88,198687.562,16624.1113,11128.6309,8461.38574
49:46.6,1009810.69,1070619.37,198570.359,16622.5,11068.9326,8487.19043
49:52.6,1017559.25,1075208.12,199304.094,16653.9961,11157.6758,8482.35156
49:58.5,1014274.38,1071851.75,198657.422,16618.459,11021.3359,8477.51465
50:04.5,1013298.37,1079884,198415.422,16551.4277,10952.7656,8505.73828
50:10.5,1011598.88,1076363.75,198303.203,16514.2754,10975.3506,8497.67285
50:16.6,1001797.75,1070883,197771.359,16456.123,10950.3408,8502.50977
50:22.6,997309.5,1069191.62,197671.766,16417.3594,10897.0996,8487.19141
50:28.6,994366.375,1076270.75,197155.141,16395.5547,10773.6729,8537.99023
50:34.6,985419.625,1073675.12,196033.234,16283.2949,10726.0752,8520.25
50:40.6,978904.125,1070134.13,194936.734,16149.2354,10562.3184,8476.70801
50:46.5,973859.563,1071138.25,194708.234,16070.8994,10549.4111,8453.32422
50:52.4,967974.688,1076611.75,194052.984,16001.4492,10458.2578,8468.64355
50:58.4,962622.187,1075562,193364.313,15901.3105,10360.6533,8455.74219
