Time,A1,A17,A21,B3,B7,B11
27:40.2,831518.813,1014011.19,139522.922,10338.0586,9869.42676,7805.87695
27:46.1,833115.125,1015397,139624.672,10447.7578,10083.1641,8039.68408
27:52.1,837557.375,1027150.25,140536.984,10597.7939,10088.8086,8224.31934
27:58.0,842109.438,1027700.25,141154.656,10495.3496,9980.72852,8082.41602
28:04.0,842622.25,1012195.5,141232.531,10415.4932,9936.36816,8080.80371
28:09.9,843560.625,1013171.5,141477.625,10564.7236,10003.3125,8210.61426
28:15.9,841684.125,1012320.5,141894.984,10475.9893,9957.33789,8053.39014
28:22.0,833134.812,1005054.13,141590.25,10416.2969,9910.55566,7937.28955
28:28.0,840438.125,1006470.13,141598.5,10330.791,9889.58398,7772.01074
28:34.0,842187.938,1003619.44,141240.734,10295.2979,9920.23145,7871.17529
28:40.1,846996.438,1019448.5,141647.344,10322.7256,9955.72266,7863.9209
28:46.0,850030.5,1017995.69,142690.063,10376.7676,10043.6377,7945.3501
28:51.9,849033.125,1018665.19,143052.016,10392.0937,10030.7334,8094.50781
28:57.9,840380.375,1013167.31,143185.438,10388.0635,9992.82422,7951.80078
29:03.9,844834.5,1012539.38,143578.094,10417.9072,9983.14453,7806.67822
29:09.8,846860.937,1012020.13,144047.016,10304.1709,10141.2354,7923.58154
29:15.8,841600.438,1021273.63,144185.344,10584.0762,10158.1709,8120.30518
29:21.8,851124.5,1020131.62,145369.469,10515.5088,10087.1904,7946.1543
29:27.8,849313.688,1011022.5,145501.25,10380.7988,10009.7578,7855.85449
29:33.8,845268.438,1008602.56,145632.203,10460.6582,10008.9541,7868.75635
29:39.8,842852.187,1012241.94,146070.672,10441.2988,10025.085,7763.14111
29:45.8,857423.25,1008545.88,146016.781,10441.2969,10004.9189,7755.88477
29:51.8,863703.75,1018173.62,146741.25,10519.543,10012.9854,7776.84619
29:57.7,869999.875,1016849,147322.344,10452.5879,10047.666,7715.57275
30:03.6,868754.063,1018855.69,147440.094,10318.6875,10046.8613,7717.99268
30:09.6,863933.813,1007836.31,147565.297,10435.6504,10152.5254,7713.15527
30:15.5,868272.313,1008473.37,149324.141,10429.1973,10096.0635,7695.41846
30:21.4,866798.437,1006144.25,148428.453,10521.9629,10196.8896,7817.15723
30:27.4,867100.25,1011937.56,150290.484,10560.6826,10121.876,7784.10254
30:33.4,870902,1008435.31,149679.141,10559.0693,10267.8701,7938.09131
30:39.4,867336.375,1018661.06,150783.281,10512.2832,10254.9658,7926.80469
30:45.4,868861.938,1013511.19,151033.844,10697.8184,10238.833,8088.86133
30:51.5,879514.437,1023429.62,152094.25,10706.6914,10336.4326,8104.98535
30:57.4,888769.563,1021091.37,151820.422,10654.2568,10240.4473,8038.06738
31:03.4,884458.75,1023051.63,151786.406,10642.1563,10192.8555,7906.64746
31:09.3,898660.187,1039149.31,153032.078,10752.6709,10257.3848,7991.30322
31:15.2,899664.938,1029700.56,153017.172,10707.501,10246.9004,7942.93066
31:21.1,895289.75,1029420,153027.953,10688.1396,10246.9004,7884.07471
31:27.1,892683.438,1030939.37,153345,10742.9912,10287.2275,7941.31445
31:33.1,891893,1028948.81,154117.828,10739.7646,10391.2832,7905.84033
31:39.2,890922.438,1021622.94,153223.781,10667.1611,10285.6143,7852.62891
31:45.2,885961,1021010.87,153853,10718.791,10278.3564,7876.01172
31:51.3,882796.938,1016325.56,154335.359,10724.4375,10289.6484,7916.32275
31:57.3,888151.25,1011908.12,154614.313,10734.9248,10365.4717,7941.31543
32:03.2,888328.062,1021199,154659.984,10715.5645,10329.1719,7905.84033
32:09.1,891614,1015052.38,154515.5,10708.3018,10365.4707,7903.42188
32:15.1,891579.563,1013696.56,155228.734,10813.9795,10367.083,7934.05811
32:21.1,903115.688,1009523.75,155173.953,10884.165,10881.7451,7962.27734
32:27.0,905011.687,1015342.06,155210.469,10624.4082,10675.2275,7863.91553
32:33.0,895293.25,1018580.44,155524.359,10530.0273,10253.3496,7655.10645
32:39.0,876764.063,960881.063,152491.766,10450.9746,10334.0117,7527.72998
32:45.0,859575,977035.062,152718.344,10446.1357,10261.417,7415.67334
32:51.1,843891.688,936615.375,149095.25,10321.915,10213.8291,7254.44678
32:57.1,823190.437,884176,148858.031,10123.4873,10137.1992,7033.5708
33:03.0,821795.625,859071.938,148872.938,10345.3047,10183.1738,7142.39355
33:09.0,804341.625,882027.25,150270.516,10242.0566,10176.7217,7070.6499
33:15.0,802292.875,891570.125,150292.156,10160.5918,10138.8135,6922.33154
33:20.9,803121.562,875073.562,150163.563,10082.3506,10100.9023,6786.91113
33:26.8,791485,850464.688,149898.937,9897.64355,10076.7041,6635.37549
33:32.8,781233,814606.188,149276.031,9796.82617,10030.7295,6472.56104
33:38.7,767785.875,816045.938,148380.359,9641.16602,9970.23535,6300.07861
33:44.7,755075.25,759025,144452.109,9599.22559,9883.93262,6249.30176
33:51.4,731029.875,744424.688,144438,9510.50977,9896.03125,6140.49805
33:57.4,728093.438,742634.125,143634.391,9516.96484,9862.1582,6039.75684
34:03.4,720479.563,753012.438,143679.109,9366.15039,9818.60352,5934.17969
34:09.4,713157.625,744200.625,144104.141,9329.86035,9821.02344,5843.91797
34:15.3,704612.062,720022,142366.172,9240.34277,9771.82422,5714.16992
34:21.3,692993.875,682369.625,141491.609,9193.56836,9721.81836,5644.05859
34:27.3,687255.25,683754.813,140078.234,9181.47266,9658.10352,5667.42969
34:33.3,681880.5,720786.125,139757.859,9032.28125,9629.06738,5486.91602
34:39.2,682770.5,689292.5,139783.484,9028.24805,9608.90332,5447.42969
34:45.2,664787.562,662858.5,138573.375,9000.02539,9612.9375,5330.58545
34:51.2,658440.313,642579.313,137030.906,8783.10352,9532.28711,5194.4043
34:57.3,651456.062,644832.563,136710.766,8928.25586,9566.96777,5291.10205
35:03.3,649876.563,669376.375,136967.25,9028.25293,9571.00195,5328.97559
35:09.4,657845.438,661021.813,135445.953,8838.74512,9470.1875,5212.93799
35:15.4,648768.813,670917.813,135834.703,8874.22656,9491.96289,5191.98779
35:21.4,653821,666384.625,134745.438,8756.49414,9439.54004,5052.58643
35:27.3,639769.812,676395.25,134439.438,8758.10645,9422.60449,4998.59961
35:33.2,644152.312,648277.125,132920.578,8608.12207,9360.50488,4936.55615
