Time,A1,A17,A21,B3,B7,B11
12:15.5,1025937.25,1075971.5,229244.828,12159.7207,11362.542,8372.65039
12:21.5,1020084.37,1069751.63,228866.516,12098.3945,11338.3379,8279.11914
12:27.5,1024317.19,1072056.5,229616.453,12200.874,11473.8809,8370.23145
12:33.4,1021844.12,1073398,229892,12202.4854,11417.4014,8383.93555
12:39.4,1024219.81,1071977.13,229626.516,12208.1348,11464.1963,8352.49023
12:45.3,1027872.5,1068230.62,228917.844,12258.9697,11456.1289,8439.57227
12:51.2,1024856,1069878.87,229065.328,12216.2031,11410.1406,8337.97852
12:57.2,1023786.81,1070192.12,228468.797,12208.9404,11368.1865,8292.82422
13:03.2,1023001.63,1074118.38,228971.703,12236.3721,11449.6709,8304.91602
13:09.3,1028475.5,1074926.87,229801.813,12297.7061,11446.4492,8346.84766
13:15.3,1035522.12,1075906.37,230001.578,12277.5332,11465.8135,8349.2666
13:21.4,1031911.63,1066525.25,229991.469,12263.0088,11480.3359,8359.74902
13:27.4,1024238.69,1055145.25,231125.078,12275.1113,11578.7676,8351.68555
13:33.4,1018687,1056006.5,231573.547,12300.9336,11602.1641,8396.03125
13:39.3,1020200.69,1060934.37,231045.844,12362.2637,11570.7002,8437.1543
13:45.3,1024220.06,1056907.63,230869.672,12296.0908,11548.1055,8372.64941
13:51.3,1016829.25,1058956.75,230218.188,12273.499,11578.7686,8424.25488
13:57.2,1021621.19,1063040.13,230410.328,12345.3154,11575.5391,8454.08691
14:03.2,1033010.5,1070877.75,231688.125,12387.2764,11598.9375,8470.21289
14:09.2,1035313.81,1069781.88,231924.219,12365.4873,11601.3555,8456.50488
14:15.2,1034816.81,1066426.13,232371.906,12347.7354,11632.8232,8403.28809
14:21.2,1035356.87,1060522.62,231809.531,12361.4512,11579.5713,8449.24707
14:27.2,1029499.44,1055486.87,231324.797,12315.457,11566.6621,8344.42676
14:33.2,1029347.56,1043949.12,230744.906,12326.7559,11575.54,8325.88379
14:39.2,1029077.19,1048352.44,232050.75,12285.6035,11598.9395,8284.76367
14:45.1,1029481.31,1058815.75,232743.828,12387.2793,11602.9727,8386.35645
14:51.0,1035753.81,1065385.5,233127.438,12437.3086,11636.0508,8399.25586
14:57.0,1037568.75,1059435.87,233232.875,12558.3564,11704.6338,8557.29688
15:03.0,1033928.56,1069498.63,233706,12548.6729,11669.1328,8542.7832
15:09.1,1041089,1070312,234080.5,12562.3936,11703.8281,8571.00684
15:15.1,1043806,1068714.25,234587.422,12589.8311,11708.6699,8566.97461
15:21.1,1048680,1075698.5,234466.734,12550.2871,11696.5654,8496.82227
15:27.1,1051713.87,1084148.13,234247.469,12522.8506,11683.6592,8422.64258
15:33.2,1049527,1077934,233646.188,12506.7139,11671.5576,8393.61621
15:39.2,1051962.25,1074578.12,233601.469,12512.3633,11715.127,8379.10352
15:45.2,1048857.75,1071995.5,233923.656,12630.1826,11519.8721,8251.70605
15:51.2,1043143.06,1052712.75,232215.172,12080.6436,11407.7236,8058.19971
15:57.1,1016824.62,1040835.69,230951.5,12027.3887,11574.7354,7894.53174
16:03.1,991961.75,1001951.63,226346.219,11781.2891,11484.3721,7661.53662
16:09.0,983318.875,975630.5,226152.531,11857.9414,11435.9629,7631.70703
16:14.9,978861.813,965221.375,226736.125,11894.25,11469.041,7634.12549
16:20.9,972984.438,957527.875,226306.672,11835.3506,11447.2598,7532.54883
16:26.9,966438.313,950870.687,226518.016,11776.4463,11376.2588,7460.79785
16:32.9,954361.125,935256.063,226271.312,11661.874,11384.3271,7310.85449
16:38.9,942782.063,914760.5,225253.234,11674.7852,11310.9102,7288.28271
16:44.9,936665.562,922737.25,225354.281,11573.1221,11327.8516,7192.35352
16:50.9,931598.187,918190.125,224856.641,11594.0977,11279.4424,7146.4043
16:56.9,925540.75,917498.625,224727.906,11401.2725,11266.5371,6998.89111
17:02.9,918301.063,892631.937,222905.547,11448.873,11219.7432,6954.55469
17:08.9,919280.313,866104.625,222374.5,11289.124,11174.5625,6801.40137
17:14.8,913297.812,845350.063,221510.375,11184.2441,11152.7812,6711.125
17:20.8,903862.75,844293.937,219403.25,11136.6465,11094.6953,6644.22461
17:26.8,901527.438,846492.938,218855.828,11137.4551,11058.3926,6593.44531
17:32.8,893626.938,838618.687,218452.219,11009.9893,11031.7715,6440.3042
17:38.8,896353.312,839485.312,217946.938,10999.502,11002.7285,6406.45264
17:44.8,887399.562,831498.187,217031.406,10888.1719,10970.459,6308.92871
17:50.8,871473.125,815540,215209.266,10859.9365,10933.3477,6251.70361
17:56.8,870025.875,806823.375,214390.078,10777.6523,10909.1465,6179.16797
18:02.7,865360.563,801369.75,213031.703,10754.2578,10854.2891,6127.58691
18:08.7,863046.625,802890.812,212658.828,10684.8838,10867.1982,6041.35303
18:14.6,858113.625,786721.125,211714.891,10563.0752,10811.5332,5944.64062
18:20.6,851960.312,772370.5,210286.734,10485.6367,10761.5195,5860.82715
18:26.6,840188.313,763059.875,208870.734,10411.4268,10755.0674,5785.07373
18:32.6,835781.438,753710.438,207721.125,10338.0215,10725.2188,5720.60254
18:38.6,826968.312,750309.313,206152.281,10338.8271,10689.7227,5689.97852
18:44.6,821250.625,745689.25,205306.016,10234.7744,10646.1641,5594.08105
18:51.4,809557.187,742261.938,204864.938,10208.1572,10625.1924,5540.89551
18:57.4,802607.875,730605.938,203595.484,10200.8975,10613.0898,5512.69043
19:03.3,797616.25,725014.563,203034.625,10150.8867,10579.21,5477.23291
19:09.2,794025.625,715624.313,202259.297,10009.7354,10561.4648,5367.64062
19:15.2,784319.938,706791.125,200672.109,10003.2822,10532.4248,5334.60254
19:21.1,782616.875,698570.188,199371.875,9969.40723,10488.8652,5301.56396
19:27.0,780215.5,700750.375,198911.156,9986.34375,10488.8633,5283.83496
19:33.0,773314.437,701497,198106.297,9950.0498,10474.3457,5236.29395
19:39.1,767599.938,696869.625,197393.734,9900.85156,10452.5684,5190.36475
19:45.1,758948.812,689335.312,196476.906,9787.93359,10404.9766,5123.48438
19:51.0,753907.312,681493.563,195420.469,9785.51367,10381.582,5085.61133
19:57.1,755121.75,681256.125,195083.953,9779.86621,10379.1621,5075.94189
20:03.0,751297.937,679925.875,194937.516,9741.95996,10353.3506,5035.6543
20:09.0,746289,677948.375,194080.625,9668.56934,10331.5752,4972.80664
20:14.9,738558.188,678604.5,192865.75,9700.02148,10327.5391,4971.19336
20:20.9,732169.063,671353.813,192174.703,9640.33789,10298.5,4926.07129
20:26.9,724316.875,666585.688,191167.734,9597.59473,10254.1367,4889.00732
20:32.8,721453.375,659823.125,190426.766,9582.26953,10263.0078,4884.17187
20:38.8,716205.625,651148.25,189138.391,9478.23145,10208.1582,4826.15869
20:44.7,712566,645127.75,187826.922,9485.48926,10188.7998,4800.37549
20:50.7,709772.562,640922.438,187083.984,9445.16406,10165.4072,4768.95215
20:56.7,702941.687,637135.188,186328.609,9396.77637,10162.1816,4714.96875
21:02.8,701295.938,631454.937,185768.016,9346.77539,10148.4707,4698.04932
