Time,A1,A17,A21,B3,B7,B11
17:24.1,424390.125,8186991,206151.219,5793.97754,4818.1333,6971.53223
17:30.2,425102.969,8259846,207871.984,5786.72754,4814.9126,6961.05664
17:36.2,426431.438,8302836,207880.422,5798.81641,4814.10742,6971.53613
17:42.1,425292.188,8173996,207356.828,5807.68115,4823.77588,6978.79102
17:48.1,426178.313,8282387,207989.5,5810.09912,4816.52441,6979.59717
17:54.1,426749.25,8432702,208819.406,5812.51562,4814.10645,6985.23926
18:00.1,428010.531,8282732,208921.797,5813.32178,4817.32959,6981.20898
18:06.0,427234.563,8375780,208791.766,5820.57617,4820.55371,6990.07715
18:12.0,427160.094,8298244,208674.219,5818.96338,4822.96973,7001.36035
18:18.0,427982.562,8224124.5,208299.937,5822.99268,4822.96973,7000.55518
18:24.1,425910.281,8280532,208202.562,5817.3501,4825.38574,7018.2876
18:30.1,426739.625,8338664,208516.453,5823.79883,4819.74707,7011.03467
18:36.1,427916.906,8301364,208133.781,5827.02148,4822.16357,7023.93066
18:42.0,426924.344,8027750.5,208203.406,5825.40967,4813.30029,7026.34912
18:48.0,426896.375,8126231,207260.313,5826.21582,4815.71777,7027.15576
18:53.9,425114.406,8052539.5,206832.484,5817.35156,4797.99219,7019.09521
18:59.9,423010.156,8248872,205757.125,5798.01025,4789.12939,7020.70801
19:05.9,423559.75,8348559.5,206105.172,5793.1748,4768.17969,7020.70605
19:11.8,423109.812,8403194,205818.297,5785.92041,4770.59668,7030.37988
19:17.8,420885.625,8243996.5,205237.938,5778.66797,4781.87695,7035.2168
19:23.8,422429,8004860.5,204237.5,5768.19092,4778.65381,7027.96094
19:29.9,420768.406,8090255.5,204274.422,5762.55029,4775.43164,7015.87012
19:35.9,420894.437,8186904,203652.328,5764.1626,4775.43164,7019.90088
19:41.9,420969.687,8258140,204058.078,5754.49072,4750.45313,7011.0332
19:47.9,419829.094,8165576,203873.703,5749.65771,4760.92969,7005.39307
19:53.8,418555,8109361,203984.359,5745.62744,4756.09473,7008.61719
19:59.8,416928.75,7999618,203026.938,5739.98633,4762.54004,7005.3916
20:05.7,414145.406,8082443,202865.938,5742.40234,4760.92773,6998.13525
20:11.7,416967.063,8239561.5,203517.281,5739.98389,4756.09277,6995.71631
20:17.6,419106.563,8290938.5,203811.563,5739.98535,4757.70508,6990.0752
20:23.7,418707.906,8239497.5,203585.25,5736.76221,4763.3457,6987.65771
20:29.7,417462.094,8350375,202919.672,5743.21045,4760.9292,6978.79248
20:35.7,416705.969,8350037.5,201845.922,5748.04443,4552.24854,6947.35254
20:41.7,412379.969,7750207.5,198209.094,5777.86328,4719.83691,6846.59424
20:47.7,406662.781,7007961,204201.547,5735.95752,4785.10156,6811.93457
20:53.7,400554.437,6847225,207425.656,5711.77979,4800.40918,6768.40625
20:59.6,394188.75,6475659,208110.344,5676.32178,4876.95605,6690.2207
21:05.6,390416.656,5960315.5,208674.297,5667.45752,4941.41553,6600.75
21:11.5,387783.094,5440826,206434.047,5625.55225,5015.54688,6502.4165
21:17.4,385429.875,4949448.5,204874.063,5587.67773,4976.06445,6404.89014
21:23.3,382172.906,4665867.5,203962.625,5565.91895,4992.98584,6287.21631
21:29.4,379605.281,4335192.5,202762.938,5569.94824,5067.92236,6188.88721
21:35.4,378925,4033249,201528.359,5581.23096,5077.59229,6088.14453
21:41.4,378494.656,3719512.75,200619.188,5621.52344,5159.78223,5995.46143
21:47.4,378333.188,3462119.5,198900.094,5647.31104,5188.79004,5910.03271
21:53.4,378424.281,3235420.75,197423.641,5664.23437,5194.43018,5838.30664
