Time,A1,A17,A21,B3,B7,B11
53:06.1,453400.906,7960370,222380.516,6114.73975,5015.54688,6695.86328
53:12.1,453363.906,7884425.5,222452.891,6116.35107,5003.45996,6704.72949
53:18.1,454516.375,7910012,223307.109,6116.35205,5010.71289,6723.26953
53:24.1,454798.219,7961819,222737.359,6120.38232,5002.65527,6728.91309
53:30.1,454619.531,7885322,221720.891,6112.32324,4999.43213,6728.10645
53:36.2,453817.438,7810626.5,221407.922,6114.74121,4997.82129,6739.3916
53:42.1,453176.531,7924138.5,221255.625,6113.93506,4994.59766,6753.09326
53:48.1,453090.188,8019325.5,221313.656,6113.93457,4998.62598,6761.15381
53:54.0,452823.5,8017241,221279.141,6112.32227,4997.01416,6761.15332
54:00.0,451201.469,7704756.5,221725.078,6109.90479,4998.62598,6758.73633
54:06.0,452887.75,7778621.5,222511.031,6110.71094,4995.40332,6760.34912
54:12.0,452881.594,7712340,221738.547,6108.29297,4994.59717,6753.09326
54:18.0,452070.938,7487018.5,219978.641,6107.48633,4997.81982,6760.34717
54:24.0,453469.594,7633383,220431.172,6109.09814,5001.04346,6757.92969
54:29.9,453682.625,7512304,219286.438,6109.90332,5000.23682,6761.15283
54:35.9,453071.625,7668829,219709.469,6117.15723,4999.43066,6773.24316
54:41.9,454428.313,7882173.5,220244.437,6116.35156,4997.01367,6775.66162
54:47.9,454199.437,7816221.5,220206.594,6112.32227,4996.2085,6780.49902
54:53.8,454953.187,7915126.5,221043.578,6117.1582,5001.84912,6777.27441
54:59.8,454272.5,7701062,221365.781,6117.96338,5005.07129,6782.9165
55:05.7,452682.594,7697492.5,219999.688,6118.77002,5007.48975,6789.36572
55:11.7,452290.969,7719737,220146.844,6130.8584,5009.90625,6801.45508
55:17.6,450590.719,7571934,219811.203,6126.82764,5006.68213,6799.03711
55:23.6,448142.75,7596154,219266.234,6114.73926,5012.32373,6804.68066
55:29.7,448503.313,7495448,219508.453,6120.38086,5015.54639,6812.74023
55:35.6,449196.438,7627063.5,219477.375,6117.96387,5020.38135,6803.87451
55:41.6,449116.375,7562139,219613.578,6122.79785,5019.57471,6807.90381
55:47.7,448725.875,7390401.5,218974.469,6126.02295,5034.88525,6808.71045
55:53.6,450681.469,7554229,220750.828,6135.69434,5025.21582,6824.02539
55:59.5,451505.031,7471171.5,221099.938,6134.8877,5027.6333,6825.6377
56:05.5,454584.156,7520448.5,221624.094,6146.97852,5034.08008,6828.05664
56:11.5,456874.125,7636195.5,222203.859,6147.78467,5030.85693,6829.66895
56:17.4,458423.781,7870479.5,223237.234,6157.45557,5030.05127,6834.50537
56:23.4,459384.344,7976456.5,223229.719,6159.06836,5034.88623,6848.20898
56:29.4,460246.438,8104465,223848.359,6163.90381,5034.88623,6850.62744
56:35.4,461991.188,8199751.5,224934.313,6176.79932,5042.1377,6861.91162
56:41.4,462285.594,8241764.5,224914.891,6176.79834,5044.55469,6881.25684
56:47.5,461626.062,8200656,224989.062,6179.21777,5046.16797,6880.45312
56:53.4,462007.937,8135570.5,224405.625,6183.24658,5041.33203,6881.25732
56:59.4,461133.219,7913538,223609.234,6174.37939,5038.10791,6883.6748
57:05.4,458288.969,7924428,222617.844,6172.76807,5043.74854,6882.0625
57:11.3,457221.125,7825616,222249.25,6177.60352,5046.9707,6877.22412
57:17.3,457642.094,7721869,223152.187,6184.05078,5053.41748,6880.44971
57:23.3,458333.906,7555439,222875.406,6171.96338,5052.61328,6865.94287
57:29.3,460831.719,7787712.5,223148.016,6175.99121,5055.02881,6865.13379
57:35.3,462386.031,7895919.5,223947.625,6181.63379,5060.66992,6872.38965
57:41.2,464257.719,8091066.5,225305.563,6192.11084,5063.89258,6880.44971
57:47.3,465890.813,8186601.5,226284.875,6203.39453,5069.53369,6880.45068
57:53.3,465786.656,8093594.5,226552.687,6207.42432,5071.95068,6894.15283
57:59.2,465898.719,8081194,226739.641,6172.76855,5071.95068,6928.00879
58:05.2,464592.875,7816095.5,210790.406,6105.87402,4594.146,6544.3291
58:11.1,461820,6961134.5,203159.422,6025.27979,4827,6465.33984
58:17.0,452344.625,6433153,201369.125,6080.89014,5109.0166,6358.94824
58:23.0,449212.313,6003620.5,197063.594,6108.29199,5337.05957,6272.70801
58:28.9,446269,5483749,193899.563,6119.57373,5395.07764,6146.16943
58:35.0,442489.25,5177930,188487.688,6137.30371,5464.37891,6020.44189
58:41.0,439600.844,4764825.5,186578.937,6175.99023,5428.92334,5941.46191
58:47.0,437317,4335617,176824.922,6209.8418,5466.79785,5883.43701
58:53.1,436344.719,3898004.5,167191.25,6253.36426,5493.39111,5798.81689
58:59.1,439910.906,3429940,165454.406,6304.13965,5504.67188,5716.61523
59:05.0,442809.094,3076958.5,162007.469,6325.90039,5505.47754,5642.47363
59:11.0,439573.562,2817796.5,156566.594,6354.10986,5472.4375,5570.75146
59:17.0,438263.844,2609916.5,153721.781,6380.70801,5478.88477,5515.95459
59:22.9,439543.813,2426767.5,145887.359,6368.61865,5604.59912,5456.32178
59:28.8,438031.281,2292898.75,147124.953,6390.37988,5590.09277,5407.16504
59:34.7,435489.156,2161222.75,145124.063,6369.4248,5639.25098,5342.69922
59:40.8,434649.687,2048511.37,147318.938,6406.5,5542.54688,5284.67969
59:46.8,435845.406,1939459,142723.859,6412.14258,5518.37207,5225.85596
59:52.7,436694.688,1860874.87,142276.531,6433.90137,5488.55273,5176.69971
59:58.7,437890.688,1804638.87,143214.203,6433.09717,5588.47998,5130.77051
00:04.8,436561.344,1733756,141021.141,6445.18848,5565.91748,5091.28906
00:10.8,436456.937,1675608.88,140273.484,6442.77002,5645.69775,5064.69775
00:16.7,434878.594,1628181,141137.844,6454.8584,5658.59033,5012.3208
00:22.6,436942.031,1583173.62,143581.203,6455.66357,5710.97168,4970.42041
00:28.6,436733.219,1532792.5,144622.656,6454.05176,5698.07812,4938.19043
00:34.6,436407.719,1480003.13,144257.281,6461.30713,5668.26074,4898.70898
00:40.6,435602.313,1440282.5,144551.406,6484.68115,5668.26123,4876.9541
00:46.6,434256.687,1399197.13,141097.281,6492.7417,5648.11475,4836.66699
00:52.6,432552.906,1366433.37,142452.156,6515.31055,5738.37354,4819.74707
00:58.7,432837.875,1339730.63,141448.406,6520.95264,5668.26221,4791.54639
01:04.7,433886.719,1321260.75,142826.578,6501.6084,5757.71533,4760.12207
01:10.6,434285.656,1298936.87,140422.453,6504.82959,5739.17725,4726.27979
01:16.6,435035.469,1279167.25,142617.734,6515.30664,5662.61719,4685.1875
01:22.5,436406.656,1251717.87,142976.438,6528.20508,5732.73096,4665.85156
01:28.5,436065.5,1231737.62,144227.453,6553.19287,5713.39062,4656.98975
01:34.4,436693.719,1209666,143062.625,6557.22217,5673.0957,4634.4292
01:40.4,435962.813,1189978,142918.484,6569.31299,5762.5498,4610.25879
01:46.4,436054.125,1174567.75,142613.656,6579.79102,5764.96729,4598.97852
01:52.4,435224.125,1161500.25,140751.125,6574.14746,5882.62744,4580.44678
01:58.4,436327.844,1148980.25,142030.562,6588.65576,5844.75049,4569.16699
02:04.4,436579.625,1134145.13,140937.422,6585.43018,5816.54248,4542.57813
02:10.4,437873,1121791.37,141811.875,6616.86523,5832.66016,4516.79541
02:16.3,439837.656,1112746.12,143289.547,6614.44873,5864.0918,4498.26611
02:23.0,439957.188,1102080.37,142911.844,6620.89697,5900.35791,4480.54102
02:29.0,439006.281,1091640.37,143278.797,6631.375,5863.28516,4458.78711
02:34.9,441503.594,1088575.88,143973.078,6614.4502,5892.29932,4441.06348
02:40.9,443696.406,1081742.37,141821.875,6600.74756,5987.39795,4417.69824
02:46.8,444487.094,1076899.5,145122.328,6614.44824,5880.20947,4396.75
02:52.8,446333.844,1067245,148026.141,6646.68945,5859.25586,4399.16699
02:58.7,445352.781,1055332,148309.688,6663.61523,5876.17871,4389.49854
03:04.8,447065.188,1049453.38,148692.812,6657.16748,5786.72412,4369.35693
03:10.9,446070.062,1040362.19,146566.156,6647.49609,5928.56494,4360.49561
03:16.9,444590.844,1034481.81,144811.563,6670.87012,5913.25146,4352.43799
03:22.9,446048.844,1035231.69,145179.453,6670.06299,5910.83252,4342.76953
03:28.8,449421.25,1029467.87,144158.609,6644.27051,5948.71143,4326.65674
03:34.7,449889.156,1020603.31,141651.187,6666.03174,6008.34814,4310.54248
03:40.7,451193.875,1016344.87,147611.5,6693.43799,5829.43604,4296.84717
03:46.7,454327.469,1010049.44,150191.563,6698.27393,6049.45166,4290.40137
03:52.6,454719.219,1004597.81,150789.672,6732.12744,5991.42334,4291.20654
03:58.5,456579.25,1003264.13,153274.25,6750.6665,5940.65039,4296.04102
04:04.6,456135.313,996818,153840.359,6743.41162,5960.79834,4279.12207
04:10.6,456787.094,989458.25,152813.578,6746.63672,5920.50293,4267.0376
04:16.6,457646.969,986692.438,152443.422,6746.63672,6030.91504,4270.25977
04:22.6,458012.563,979474.688,150498.484,6769.20557,6021.24316,4262.20361
