Time,A1,A17,A21,B3,B7,B11
33:27.6,439381.719,7888631,215118.656,5939.854,4896.29541,6754.70654
33:33.6,440617.875,7925759,215648.891,5943.07666,4886.62549,6766.79639
33:39.6,441620.781,8056293,216270.797,5947.10645,4897.10059,6778.08105
33:45.5,441525.937,7925362.5,216433.875,5943.07715,4886.62646,6781.30566
33:51.6,441612.875,7916031.5,216058.141,5936.62842,4885.81934,6784.52881
33:57.5,441090.281,7776184,216329.625,5938.24219,4880.98682,6786.94971
34:03.5,441858.938,8020743,216619.656,5939.04883,4872.12402,6797.42822
34:09.4,441392.375,7970087,216259.016,5937.43457,4875.34473,6806.29248
34:15.3,440975.156,8031834,216422.875,5939.0459,4872.12158,6819.18945
34:21.2,440747.781,8029368,216074.078,5939.85205,4876.15039,6828.05615
34:27.2,440608.938,7981410.5,216189.156,5940.65576,4872.12012,6834.50244
34:33.2,440008.219,7897994.5,215691.641,5932.59717,4875.34424,6828.86133
34:39.2,439375.312,7661659,215032.844,5922.92627,4876.14893,6833.69678
34:45.2,438974,7689972,214749.641,5938.23926,4878.56689,6832.89111
34:51.1,438410.594,7693992.5,215003.438,5936.62744,4891.45898,6844.17676
34:57.1,439386.687,7933467,215148.75,5941.46191,4888.23535,6853.04199
35:03.1,440509.656,7924923,216282.438,5947.10352,4889.84668,6865.1333
35:09.0,440977.688,7866668.5,216438.781,5945.4917,4893.06982,6865.1333
35:14.9,440744.187,7840497.5,216314.437,5944.6875,4887.43115,6871.58398
35:20.8,441171.156,7983378.5,216145.578,5950.33057,4886.62646,6873.19775
35:26.8,439891.687,7795764.5,215606,5944.68799,4883.40234,6876.42041
35:32.8,439482.406,7825616,215837.062,5947.10547,4890.65381,6885.28809
35:38.8,440210.406,7835005,216141.344,5942.26904,4878.56738,6891.73535
35:44.8,440125.094,7748187.5,215458,5951.1333,4885.81836,6893.34619
35:50.8,437442.5,7616132,214024.625,5938.24072,4883.40283,6887.70605
35:56.8,436916.938,7590625.5,214154.063,5930.98828,4880.98584,6885.28857
36:02.9,435632.375,7491722,213845.687,5930.98633,4871.31592,6882.86865
36:08.9,435769.125,7525765,214266.547,5916.47949,4847.94922,6885.28662
36:14.8,434601.562,7860984.5,213900.297,5912.45068,4845.53223,6890.12451
36:20.7,435420.062,8023736,213634,5906.00293,4848.75537,6897.37842
36:26.6,434513.875,8041929,213203.906,5909.22705,4846.33789,6907.05176
36:32.6,432163.812,7937099.5,212752.891,5904.3916,4836.66846,6907.05078
36:38.5,432154.938,7979015,212573.109,5893.10791,4837.47363,6918.33496
36:44.6,432936.125,8122750.5,212842.75,5897.94482,4836.66943,6921.56152
36:50.7,432699.531,8046174.5,212501.766,5884.24414,4824.5835,6923.17334
36:56.7,432013.844,8212972.5,211948.312,5881.01953,4817.33105,6932.8457
37:02.7,430737.562,8166907,211811.406,5880.21338,4827.80469,6931.23193
37:08.7,430200.281,8146524.5,211628.328,5874.57178,4827,6933.65137
37:14.6,429500.156,8122668,211312.656,5762.55225,4739.17529,6628.15625
37:20.5,421375.75,7352194.5,198442.781,5768.19336,4590.92383,6325.09717
37:26.4,421964.625,7461030.5,198312.172,5822.18896,4768.18164,6360.56055
37:32.4,422795.031,7475750,200813.562,5831.85889,4739.98047,6325.90186
37:38.3,419940.156,6945686.5,201871.094,5827.02344,4777.04346,6259.00537
37:44.2,415929.75,6481896.5,199069.328,5792.37158,4741.59326,6161.48633
37:50.2,412334.844,6069012.5,197303.953,5763.35938,4726.28418,6038.17578
37:56.3,406010.375,5620997.5,194720.578,5734.34717,4693.25,5901.9751
38:02.3,399192.875,5080423.5,192495.781,5728.70654,4764.15381,5786.73096
38:08.4,394396.844,4706769.5,189492.609,5740.79395,4788.3252,5666.65283
38:14.4,391266.375,4344000.5,186624.969,5747.2417,4778.65674,5568.33691
38:20.4,388580.344,4024526,182853.797,5752.07666,4733.53613,5474.05225
38:26.4,386294.437,3733130,181734.234,5764.16406,4767.37549,5369.29248
38:32.3,384230.219,3430733.5,179737.938,5773.83545,4784.29639,5276.62402
38:38.3,382759.938,3168005.25,176468.875,5781.08838,4789.13086,5180.73242
38:44.2,381276.094,2936828.25,174025.359,5779.47705,4768.18262,5091.29102
38:50.2,380091.406,2734268.25,171601.391,5786.73193,4793.9668,5013.93701
38:56.2,378543.25,2583505,170628.391,5788.3418,4851.17285,4941.4165
39:02.2,377810.938,2437956.75,170293.563,5786.72949,4791.54785,4865.67578
39:08.3,377468.281,2310769.25,169967.906,5795.59473,4815.7207,4795.57715
39:14.3,377106.625,2171199.5,168237.625,5803.65332,4860.03564,4730.3125
39:20.3,375823.812,2064196.87,166830,5805.26416,4812.49658,4666.66016
39:26.3,374932.5,1976815,165995.312,5812.51904,4849.56152,4615.0957
39:32.2,374698.437,1892286.75,164664.031,5807.68262,4863.25879,4557.08447
39:38.2,374630.75,1812040.87,164511.766,5803.65283,4869.7041,4511.15967
39:44.2,374169.5,1751715.5,164992.656,5817.35352,4847.94922,4470.0708
39:50.2,374290.875,1687482.37,164902.813,5819.77197,4878.56836,4420.11914
39:56.1,374049.938,1630680.87,164719.797,5830.24902,4856.81348,4383.05811
40:02.1,374399.313,1583636.13,164263.891,5839.11328,4885.81982,4343.58008
40:08.2,374646.375,1533201.5,163692.422,5839.11279,4894.68359,4291.21289
40:14.3,374819.781,1491658.25,163402.156,5841.53125,4839.89258,4258.18115
40:20.3,374994.906,1460499.75,163577.672,5849.59131,4909.99365,4226.76123
40:26.3,375544.75,1425725.63,163787.313,5860.06836,4926.91455,4200.17529
40:32.3,376104.031,1396226.88,163927.016,5868.93262,4901.93506,4164.72656
40:38.4,376713.719,1370690.75,163615.938,5867.32129,4975.26025,4131.69629
40:44.3,377220.281,1341451.87,163792.281,5872.9624,4947.05811,4112.36084
40:50.3,377736.438,1311779.63,164120.828,5881.82715,4960.75586,4082.55298
40:56.2,377964.531,1286988.88,163785.594,5890.69092,4960.75537,4062.41235
41:02.2,378499.875,1266255.5,163747.375,5897.14014,4995.40479,4036.63403
41:08.1,379168.125,1247445.13,163660.875,5902.78174,5008.29639,4016.49316
41:14.2,379811.062,1226373.62,163624.281,5913.25879,5017.16064,3987.49194
41:20.2,380455.938,1207464.25,163593.516,5926.15332,5029.24658,3974.60181
41:26.2,381220.656,1191916.37,163462.922,5932.60107,4999.43311,3959.29541
41:32.2,381915.188,1174953.5,163640.938,5938.24316,5027.63574,3936.73999
41:38.1,382647.312,1160559.75,163630.172,5938.24414,5009.104,3919.82251
41:44.1,383486.125,1148060.38,163759.031,5954.36035,5084.03955,3909.34888
41:50.2,384582.188,1135891.62,163843.875,5968.06201,5080.81738,3894.84863
41:56.2,385655.125,1121477.87,164329.672,5975.31494,5117.88281,3887.59839
42:02.1,386190.281,1109973.5,164520.984,5993.04443,5099.34912,3866.65259
42:08.1,386890.688,1097418.75,164097.562,6003.52197,5125.13477,3851.34644
42:14.1,387749.406,1083703.62,164087.594,6010.77637,5065.50732,3842.4856
42:20.2,388497.063,1075354.87,163823.141,6009.97168,5124.33105,3821.5415
42:26.2,389446.375,1064448.88,163626.781,6014.80566,5102.57324,3803.81787
42:32.2,390616,1057515.25,163711.625,6017.2251,5096.12793,3795.76294
42:38.2,391649.344,1047429.38,163996.109,6039.79053,5154.95068,3795.76294
42:44.2,392747.125,1039120.37,164572.594,6049.46094,5191.21045,3782.06738
42:50.2,393823.469,1030924.25,164687.391,6043.01367,5092.09814,3774.01221
42:56.2,394475.313,1023049.81,164681.547,6050.26562,5194.43262,3761.12183
43:02.2,395108.906,1016686.06,164752.266,6065.58008,5195.23975,3757.09521
43:08.2,396098.812,1008859.69,165030.156,6072.02783,5204.90918,3749.03931
43:14.2,396973.812,999321.5,165351.344,6085.729,5165.42578,3740.98413
43:20.2,397488.406,990535.125,165284.75,6091.36914,5183.95752,3726.48315
43:26.2,398020.531,984057.625,165515.281,6102.65479,5246.00635,3716.01196
43:32.2,398815,978348.438,165461.203,6105.87891,5258.89941,3707.95605
43:38.2,399650.344,970929.813,165537.719,6119.57861,5258.89795,3702.31665
43:44.3,400449.219,966530.5,165551.859,6137.30957,5206.521,3707.1499
43:50.2,401456.687,961049.75,165940.453,6143.75781,5304.02393,3702.31689
43:56.1,402370.031,956541.25,166274.969,6151.81592,5279.04297,3702.31641
44:02.1,403518.125,951765.062,166494.688,6159.87646,5332.22803,3687.01099
44:08.0,404221.844,945349.875,166434.813,6166.32471,5242.78271,3684.59473
44:13.9,404882.781,940234.813,166267.5,6167.93604,5274.20801,3666.06641
44:19.9,405579.625,934521.313,166235.078,6173.57861,5321.75244,3657.20605
44:25.9,406266.156,929943.375,166351.578,6184.05566,5314.50049,3655.59521
44:31.9,407141.156,925541.625,166611.219,6205.81592,5314.49951,3658.01147
44:38.0,408176,921952.188,166841.75,6213.07031,5295.16016,3653.17822
44:44.1,408833.219,917679,167085.656,6217.90723,5380.57812,3645.12354
44:50.2,410040.438,914889.25,167201.359,6229.18994,5333.83984,3653.17847
44:56.1,410863.625,910689.437,167521.781,6236.44189,5425.70264,3639.48267
45:02.1,411471.25,905778.75,167304.531,6238.05469,5319.33447,3628.20581
45:08.0,412149.031,902445,167256.281,6239.66699,5428.92773,3618.53979
45:13.9,413052.969,898239.625,167264.562,6271.09863,5203.29736,3658.01099
45:19.9,413919.437,934948.188,166108.563,6095.3999,4987.34717,3728.09424
45:25.9,413722.063,1257766,169136.891,6005.13428,4924.49756,3834.4292
45:31.9,409165.687,1480863,170222,5928.57227,4884.21094,3924.65576
45:37.8,407203.156,1807476.25,173553.734,5860.0708,4768.18506,4088.19409
45:43.9,408843.656,2116716.5,176635.75,5832.66895,4774.63037,4181.64746
45:49.8,407961.375,2313871.5,179462.687,5802.04541,4737.56738,4302.49414
45:55.9,407840.125,2623443,181731.031,5799.62793,4750.45898,4451.54297
46:01.8,411105.594,3027604.25,185153.047,5799.62793,4754.4873,4572.396
46:07.8,411973.438,3323567.5,187664.609,5798.8208,4746.4292,4687.61133
46:13.7,412835.469,3608716.75,189608.906,5792.37402,4754.48682,4782.6875
46:19.7,411711.469,3782194.25,191341.531,5788.34424,4761.73828,4851.98193
46:25.7,413309.781,3961474,193061.359,5793.98535,4763.34961,4937.39014
46:31.6,414528.438,4265264,193555.813,5799.62695,4780.27002,5013.93799
46:37.7,415002.906,4430718.5,194429.453,5802.85205,4779.46533,5087.26465
46:43.6,415503.75,4567886,195482.328,5805.26855,4781.88184,5149.31006
46:49.7,416362.75,4735832,196384.703,5806.07471,4793.96826,5211.35693
46:55.7,415229.281,4863224.5,197150,5789.95752,4784.2998,5246.8125
47:01.8,416499.094,5229340,197478.203,5789.95605,4789.1333,5294.35449
47:07.8,416890.562,5375015,197370.141,5798.01416,4784.29785,5336.25635
47:13.7,416826.813,5485720,197419.562,5802.04492,4780.27051,5387.02441
47:19.7,415594.594,5516029,197327.484,5802.04443,4788.32764,5423.28662
47:26.3,414514.5,5536495.5,197507.5,5803.65674,4792.35645,5464.38477
47:32.3,414705,5555955,198154,5802.85059,4795.5791,5512.73584
47:38.2,414767,5407124,198401.031,5796.40234,4789.93848,5540.93994
47:44.2,414515.313,5604917,198146.422,5795.59668,4796.38428,5567.53271
47:50.2,417099.531,5864740.5,199134.75,5805.26758,4813.30469,5616.69043
47:56.2,418319.969,5990610.5,200309.25,5821.38525,4815.72168,5661.01367
48:02.2,418642.656,5992315.5,200791.859,5825.41553,4815.72217,5690.83154
48:08.3,419545.156,5965837.5,201075.922,5840.72705,4828.61377,5732.73682
48:14.3,421250.781,6128973,202316.25,5843.95068,4838.28271,5772.22559
48:20.3,421827.344,6313306,203694.375,5857.65039,4843.92236,5810.10254
48:26.3,424467.844,6353891,204704.766,5856.8457,4855.20361,5845.56348
48:32.2,425388.875,6431473.5,204970.609,5876.18701,4854.39795,5879.41113
48:38.2,425125.344,6559917,205377.359,5882.63525,4860.03857,5908.42432
48:44.3,426402.906,6700690,205859.625,5887.4707,4860.03809,5945.49658
48:50.3,425824.063,6643465.5,206566.75,5896.33545,4860.03809,5979.3457
48:56.3,426571.031,6693669.5,206982.844,5883.44141,4864.06738,5986.59912
49:02.3,428476.219,6773455.5,207346.953,5892.30566,4868.90137,6013.19482
49:08.3,428501.594,6850877,207737.094,5901.1709,4861.64941,6038.98438
49:14.3,428655.687,6841057.5,207316.703,5899.55811,4864.06592,6044.62451
49:20.3,429068.375,6806063.5,207165.703,5904.39453,4864.87207,6066.38574
49:26.3,427905.844,6808579,206867.047,5902.78271,4860.03809,6089.75781
49:32.2,430294.313,6867548,207429.141,5905.19971,4871.31787,6100.23535
49:38.1,431544.125,6931322,208364.687,5914.86963,4884.20898,6134.88965
49:44.2,430277.531,6819175.5,208415.891,5915.67627,4901.93604,6149.39795
49:50.1,431509.125,6856750,209727.734,5934.21289,4908.38281,6178.4126
49:56.0,434153.625,7150180,210746.016,5941.46631,4905.15967,6208.2334
50:02.1,434234.281,7168496,210762.813,5938.24268,4899.51953,6225.96484
50:08.1,434315.031,7116707,211226.281,5954.36133,4908.38281,6235.63672
50:14.2,435655.344,7155752.5,212018.078,5955.97266,4915.63477,6258.2041
