Time,A1,A17,A21,B3,B7,B11
15:18.9,446545.844,7234305.5,210146.047,6118.7334,4996.98438,6586.20312
15:24.8,448244.625,7287201.5,210941.094,6121.95752,4993.76172,6599.90576
15:30.8,447887.625,7332283,211497.812,6115.50977,5000.20752,6595.06982
15:36.7,446381.406,7323718.5,211784.094,6142.10449,5026.79687,6621.6665
15:42.6,450253.594,7549892,212447.516,6161.44727,5026.79687,6638.59473
15:48.6,452140.219,7588003.5,213289.109,6163.05908,5029.21387,6653.9082
15:54.5,454125.188,7489584,214212.328,6173.53613,5030.82568,6654.71484
16:00.4,454259.031,7472373.5,214462.703,6176.76074,5034.04883,6660.35645
16:06.5,455629.125,7521002,215068.5,6180.79004,5041.30029,6677.28271
16:12.5,455324.531,7530397.5,215118.953,6188.04395,5042.9126,6685.34424
16:18.5,455542.875,7520734.5,214895.391,6182.40137,5034.85352,6695.8208
16:24.5,456671.969,7562332,214582.844,6175.95459,5035.66016,6689.37354
16:30.4,457490.438,7448883.5,214617.313,6178.37256,5032.43701,6670.02881
16:36.4,455340.313,7393121.5,214570.266,6180.79053,5057.4165,6672.44824
16:42.4,454989.906,7437840.5,214903,6193.68506,5050.16406,6686.14893
16:48.3,454845.344,7264232.5,213840.984,6196.10205,5056.60986,6691.7915
16:54.4,455841.437,7348700.5,214106.484,6189.65576,5050.9707,6692.59863
17:00.3,456763.625,7322665.5,214256.016,6196.9082,5053.38574,6687.75977
17:06.3,459001.469,7387602.5,214445.859,6197.71436,5062.25,6678.08887
17:12.2,459589.375,7414134.5,214914.734,6200.93945,5063.8623,6680.50732
17:18.2,462288.813,7536886,216203.813,6217.86475,5076.75439,6693.40381
17:24.8,462794.969,7418937.5,217877.453,6228.34131,5084.81201,6708.71826
17:30.8,462533.938,7327161,220044.531,6245.2666,5106.56885,6712.74951
17:36.8,465515.625,7486269.5,220653.594,6259.77588,5115.43311,6739.3501
17:42.8,467984.188,7751371.5,221061.547,6283.14746,5118.65479,6761.91797
17:48.9,470315.25,7815861.5,222076.266,6289.59668,5129.13135,6771.59229
17:54.8,471481.25,7803135.5,222630.797,6298.4624,5133.96582,6778.8457
18:00.7,471091.594,7583262,222558.375,6311.35693,5139.60596,6799.80273
18:06.7,471377.844,7806306.5,223782.109,6335.53711,5147.66455,6816.73047
18:12.7,473639.75,7811009,224864.703,6340.37256,5146.8584,6823.17871
18:18.7,475396.969,7884700,225219.125,6342.78955,5144.43994,6837.68701
18:24.8,475093.656,7744037,224772.922,6349.23779,5145.24609,6825.59717
18:30.8,474124.969,7574140,225145.062,6340.37256,5156.52832,6832.0459
18:36.8,475554.375,7601577,226157.188,6350.04443,5158.13965,6832.04541
18:42.8,478511.563,7810209.5,227737.266,6359.7168,5168.61523,6847.36133
18:48.8,478755.719,7709334.5,227188.891,6369.38818,5177.47852,6853.00342
18:54.8,480319.031,7740431,226946.312,6375.83545,5171.03174,6861.86865
19:00.8,479879.156,7735773,226829.188,6386.31201,5187.14648,6881.21436
19:06.8,479992.406,7855153,227480.281,6386.31201,5171.83643,6898.14111
19:12.7,479867.625,7730841.5,228546.766,6390.3418,5166.1958,6918.29297
19:18.6,479972.094,7565936.5,228724.578,6381.47705,5167.80859,6915.06982
19:24.6,479056.375,7817335.5,227890.547,6025.24414,4847.92041,6168.70117
19:30.6,469231.75,6512026,193854.938,6015.57275,4687.58105,6009.93164
19:36.7,451803.969,5792478,193937.703,6156.61035,4934.1333,6229.14648
19:42.7,433612.094,5017728,196068.578,6272.66895,5102.53906,6210.60938
19:48.7,424024.5,4368661,203770.125,6287.98242,5127.51807,6090.52344
19:54.7,418245.406,3935345.75,203079.344,6216.25146,5187.95215,5997.03516
20:00.6,413867.688,3583732.75,205195.656,6183.20801,5183.92432,5984.14111
20:06.6,410757.75,3317034.75,209909.297,6196.10205,5291.09473,5905.96533
20:12.5,408406.937,3063082.5,208636.875,6167.08789,5276.58984,5693.20996
20:18.5,405344.781,2822479.5,199962.703,6196.10205,5348.30762,5556.21338
20:24.5,401992.438,2607714.75,199439.984,6271.05811,5387.79395,5449.03711
