Time,A1,A17,A21,B3,B7,B11
34:51.2,455788.875,1456135.63,195817.406,7281.78271,8963.64844,8331.4707
34:57.2,455545.594,1451439.37,195885.109,7272.10596,8955.58008,8341.14258
35:03.2,455472.406,1450813.87,196008.172,7284.19873,8945.09863,8330.66211
35:09.1,455328.938,1444059.88,196009.844,7273.71924,8941.06641,8329.04883
35:15.1,455639.781,1454743.25,196153.812,7279.36182,8949.12988,8318.56836
35:21.1,455258.5,1454173.87,196238.375,7274.5249,8943.48535,8324.21094
35:27.2,455026.906,1436253.37,196049.219,7277.75049,8935.42285,8308.08691
35:33.2,455007.594,1439251,195782.188,7271.30127,8937.8418,8307.28027
35:39.2,455198.656,1449440.13,196148.844,7269.68848,8945.09863,8301.63477
35:45.2,455773.687,1455113.13,196451.047,7262.43408,8949.13184,8299.21777
35:51.2,455760.5,1457226.75,196637.734,7275.33154,8954.77539,8299.2168
35:57.1,455950.656,1451724.88,196546.469,7275.33154,8947.51855,8300.83008
36:03.2,456611.375,1454302.25,196416.719,7281.78125,8937.03613,8291.15625
36:09.1,456437.031,1460501,196701.438,7271.30371,8949.13379,8293.57617
36:15.1,457086.188,1458629.25,196990.203,7276.94385,8972.51562,8293.57227
36:21.1,457453.469,1460955,197360.297,7280.97559,8970.90527,8291.96191
36:27.1,456500.469,1456665.63,197337.719,7290.6499,8960.42285,8295.18848
36:33.1,456964.688,1465304.5,197238.937,7289.84424,8972.51953,8311.31445
36:39.1,457567.344,1465655.87,197506.078,7301.12988,8984.61523,8314.54004
36:45.1,457457.125,1463365.88,197990.875,7303.54785,8981.38965,8319.37598
36:51.1,457319.594,1464771.75,198172.578,7306.771,8998.32227,8320.9873
36:57.1,459131.219,1467293.5,198559.531,7316.44531,8999.93555,8323.4082
37:03.0,459630.031,1469706.62,198716.984,7346.27148,8995.90332,8328.24512
37:09.0,459191.094,1467951.37,198765.563,7333.37549,8988.64746,8290.35059
37:14.9,461730.813,1460044.38,198824.25,7354.33545,9091.86914,8281.48242
37:20.9,466564.938,1428187.13,198670.156,7374.48877,9058,8282.28809
37:26.9,458837.937,1365558.75,198107.359,7405.12451,9221.70605,8230.6875
37:32.9,448799.969,1325651.75,197280.031,7472.84033,9318.48145,8227.46289
37:38.9,448024.281,1274261.75,196741.672,7433.33936,9332.19043,8080.72119
37:44.9,444464.781,1239554,194692.5,7406.73486,9328.15625,7933.17676
37:50.9,442185.781,1207924,191118.625,7400.2876,9331.38379,7805.79492
37:57.0,441424.219,1200936.37,187939.984,7384.97021,9366.06152,7710.66357
38:03.0,438264.344,1208570.5,185177.703,7391.41992,9375.74023,7644.55566
38:09.0,438399.594,1203454.75,183853.078,7394.64502,9400.74121,7633.27002
38:14.9,437379.688,1174647.62,184430.125,7367.23486,9433.80566,7611.50146
38:20.9,434566,1149124.63,182714.125,7308.38672,9391.86816,7563.13184
38:26.8,433880.281,1132260.5,180676.562,7289.84717,9408.80566,7506.70068
38:32.8,432523.719,1108425.62,180270.969,7262.43848,9453.16113,7446.2373
38:38.8,430324.312,1086984.37,179150.328,7239.86621,9455.58008,7382.55176
38:44.9,429531.312,1065820.5,177913.234,7214.87891,9483.81055,7297.10449
38:50.9,428892.719,1050102.38,177427.828,7189.88916,9499.93945,7242.28711
38:57.0,428835.687,1036712.19,176490.453,7193.11377,9537.03809,7172.15576
39:03.0,428188.313,1026882.31,176128.578,7176.18604,9566.07227,7122.17627
39:08.9,427395.5,1016702.69,175424.016,7189.08203,9587.04102,7071.3916
39:14.9,425545,1004022.69,174858.812,7176.18506,9611.23535,7035.11768
39:20.8,423802.094,989644.625,173991.125,7160.06445,9629.78809,6986.75439
39:26.8,421578.562,976530.938,173445.234,7164.09375,9646.72266,6925.4917
39:32.8,420360.781,962547.437,172269.469,7153.61426,9674.95117,6863.42432
39:38.7,420362.625,951021.5,171318.063,7125.40088,9685.43555,6823.12158
39:44.7,419586.719,940674.813,170774.938,7114.11377,9708.01562,6779.59326
39:50.7,418434.156,930219.938,170374.313,7128.62402,9729.79297,6732.03809
39:56.7,414767.5,922768,169539.859,7135.07275,9758.82812,6674.00391
40:02.7,411357.5,912462.75,168742.156,7139.104,9790.28418,6642.56934
40:08.7,410064.531,900002.562,167927.141,7115.72754,9804.80176,6624.03076
40:14.6,409878.562,889435.625,167108.063,7109.27881,9824.96484,6571.63965
40:20.6,409481.438,880062.125,166624.516,7106.05518,9849.16309,6536.17627
40:26.6,407221.375,870171.563,165765.766,7093.15918,9862.06934,6499.90674
40:32.5,408526.719,860831.188,165557.719,7097.99414,9899.97461,6467.66553
40:38.4,408004.844,852415.625,165061.828,7093.96338,9908.04004,6432.20215
40:44.4,407212.562,846252.75,164408.734,7103.63672,9922.55859,6400.76855
40:50.4,406155.219,841142.687,164129.219,7097.99316,9958.0459,6372.55859
40:56.4,406875.781,833364.375,163433.875,7095.57568,9975.79199,6337.90234
41:02.5,405349.313,827104.25,162707.844,7094.77051,10006.4424,6292.76904
41:08.4,402908.781,821942.75,162050.125,7106.05664,10020.1553,6275.03809
41:14.4,400796.125,815395.875,161325.078,7098.80127,10041.125,6268.58984
41:20.4,402597.531,807514.437,160822.125,7085.90234,10047.5771,6246.82861
41:26.4,402635,801687.625,160430.563,7093.15625,10081.4531,6206.53027
41:32.4,403423.063,794790.938,160133.031,7081.06592,10101.6182,6169.45703
41:38.4,401813.938,788393.625,159232.953,7081.87207,10116.9434,6145.27881
41:44.3,398891.531,783341.187,158512.5,7086.7085,10137.1094,6121.10107
41:50.3,396548.063,774972.5,158553.219,7073.00537,10157.2734,6099.33984
41:56.3,398749.531,768256.688,158306.422,7062.52539,10186.3086,6067.9082
42:02.3,399721.687,762799.5,158074.625,7062.52637,10214.542,6043.73096
42:08.3,397081.781,774625.375,157910.969,6914.20752,9457.19727,6028.41846
42:14.3,395367.594,818243.312,157917.625,6859.39551,9050.74805,6136.41309
42:20.3,388119.031,902028.938,160330.875,6883.57764,8929.78809,6316.14209
42:26.2,392999.625,991551.875,163132.828,6926.29932,8936.23926,6504.74219
42:32.2,398997.812,1049021.5,165993.734,6969.82666,8921.72461,6653.0498
42:38.1,403068.313,1080496.25,168103.688,6978.69482,8838.66699,6766.7002
42:44.1,407679.406,1139274.63,170275.281,7017.38672,8838.66699,6881.16113
42:50.0,411196.219,1179666.5,172304.547,7039.95801,8825.76563,6973.85889
42:56.1,413767.406,1208552.12,173447.781,7059.30322,8811.25,7067.36475
43:02.1,416727.031,1231852.87,174432.094,7078.6499,8812.05664,7135.07715
43:08.1,419572.156,1254884.13,175560.844,7108.47607,8822.54004,7215.68848
43:14.2,422388.969,1272065,176685.672,7131.04639,8823.34668,7280.98486
43:20.1,423800.563,1290038.88,177683.109,7153.61719,8807.21875,7344.66846
43:26.2,424792.312,1302488.63,178551.438,7161.67773,8818.50586,7387.39307
43:32.2,425596.875,1318060.5,179575.953,7177.80078,8825.76563,7433.34473
43:38.2,429472.063,1341084.87,181151.578,7180.22119,8830.60547,7466.39844
43:44.3,431360.719,1347220.5,182016.359,7195.53613,8848.3457,7508.31836
43:50.3,432117.219,1359120.25,182937.188,7207.62744,8842.7002,7544.59521
43:56.2,432353,1364842.75,183400.563,7221.32959,8838.66504,7585.70752
44:02.2,433070.937,1362597.5,183543.344,7217.2998,8833.82813,7614.73145
44:08.2,434054.094,1376165.13,184467.875,7223.74902,8834.63574,7634.08057
44:14.2,435359.25,1381615.38,185287.219,7227.77783,8827.37598,7659.07031
44:20.2,436154,1398595.5,185691.531,7243.90088,8828.98926,7700.99316
44:26.2,436803.344,1401566,185996.469,7245.5127,8824.95703,7719.53564
44:32.2,437712.5,1400765.75,186476.875,7247.93164,8818.50586,7746.14014
44:38.1,438973.875,1401963.88,186956.531,7247.93359,8815.28223,7757.42871
44:44.1,439173.25,1410890.75,187502.234,7257.60645,8818.50879,7777.58398
44:50.1,440467.375,1423655.13,188045.469,7260.83057,8837.86133,7804.99512
44:56.1,442155.406,1427585.75,188591.25,7276.95313,8844.31152,7832.40576
