Time,A1,A17,A21,B3,B7,B11
57:50.6,451640.531,1583847.88,198253.391,7277.76514,8585.47754,7991.23975
57:56.6,451621.187,1579105.75,198566.609,7283.40771,8579.83301,7992.85205
58:02.6,451812.125,1579880.5,198694.766,7282.60205,8573.38281,7998.49707
58:08.6,452136.062,1589017.25,199097.719,7284.21631,8593.54297,8006.56104
58:14.7,452512.875,1583714.25,199524.078,7284.2168,8593.54297,8008.17285
58:20.7,452523.344,1586332.63,199775.344,7285.82715,8606.44238,8014.62158
58:26.6,453228.344,1591243.37,199982.266,7289.05176,8599.99121,8017.8457
58:32.7,453332.156,1581655.38,200241.109,7293.8877,8605.63574,8025.10156
58:38.8,453392.125,1586071.75,200423.812,7300.33887,8600.7998,8033.97266
58:44.7,454429.281,1594795,200693.656,7305.17627,8618.54004,8045.26123
58:50.7,455050.844,1594669.5,200986.844,7305.17383,8620.14941,8047.67627
58:56.7,455190.813,1595992.13,201250.813,7311.62354,8612.89453,8052.51611
59:02.6,455994,1599550.38,201458.609,7311.62256,8618.53809,8061.38428
59:08.6,455927.062,1599730.5,201722.578,7320.48975,8617.73047,8074.28418
59:14.5,456938.219,1602029,202045.281,7314.04248,8609.66895,8073.47852
59:20.5,457452.875,1611026.75,202331.125,7305.17627,8599.99512,8074.28662
59:26.5,458067.875,1606595.88,202791.297,7303.56348,8596.76758,8069.44775
59:32.5,457317.125,1603009.87,202830.625,7305.17383,8587.08984,8076.70215
59:38.5,456366.562,1603306.5,202670.531,7305.97998,8574.99512,8073.47754
59:44.6,456392.094,1609733.5,202596.734,7301.94922,8580.63965,8079.92822
59:50.5,457176.031,1614337.87,202607.641,7305.17432,8574.99512,8079.92725
59:56.4,457782.25,1619532.75,202719.125,7308.39746,8577.41406,8093.63428
00:02.3,458232.437,1621144.87,202671.375,7305.97949,8582.25098,8095.24561
00:08.3,458303.781,1629761.38,203017.547,7308.39697,8590.31348,8107.33887
00:14.2,458900.406,1624575.88,203599.359,7318.87842,8606.44238,8108.95361
00:20.1,459389.656,1631312.25,203892.016,7326.13574,8597.5752,8121.0498
00:26.2,460072.781,1630000.38,203834.203,7318.88135,8591.12598,8123.46924
00:32.2,460424.5,1630090.88,203980.094,7323.71875,8595.15918,8121.85742
