Time,A1,A17,A21,B3,B7,B11
45:51.5,450488.063,1460547,193118.609,7343.05127,8896.72168,7963.81592
45:57.5,450632.344,1457249.12,192986.438,7343.85791,8893.49609,7971.07324
46:03.4,451286.219,1468764.5,193408.156,7347.08447,8897.53027,7986.39307
46:09.4,451047.781,1466756.87,193887.578,7344.66602,8901.5625,7995.26172
46:15.4,451594.25,1472157.5,194458.281,7344.66602,8887.04785,8005.74219
46:21.4,451890.781,1474655.25,194709.313,7348.69434,8907.2041,8003.32178
46:27.4,452742.656,1481655.5,194888.422,7351.11328,8903.17383,8020.25488
46:33.5,453420.594,1484318.12,195121.156,7359.17773,8894.30664,8037.18799
46:39.4,454327.375,1490568.13,195464.281,7364.0127,8882.20801,8048.47314
46:45.3,454294.656,1485917,195502.734,7370.45996,8884.62598,8056.53467
46:51.3,454598.5,1488508,195707.031,7353.53369,8848.3418,8049.28125
46:57.3,453579.937,1484254.25,195784.906,7355.95264,8859.63184,8054.92578
47:03.2,452775.375,1490413.75,195908.781,7359.17725,8845.92285,8067.01855
47:09.2,453388.906,1502364.38,196061.969,7339.83057,8774.96191,8062.18262
47:15.2,451340.906,1502793.75,195180.563,7317.25879,8720.93457,8063.79346
47:21.2,450590.25,1505715.13,194865,7305.9707,8653.19922,8060.56738
47:27.2,449256.594,1503947.37,194187.141,7280.17529,8621.75293,8074.27441
47:33.2,447542.531,1509520.25,194269.156,7276.95166,8657.23242,8069.4375
47:39.8,446975.531,1506567.88,194469.188,7269.69678,8670.13477,8092.82031
47:45.9,446490.219,1503099.75,194862.5,7265.66504,8644.33008,8088.78711
47:51.8,446402.25,1501970.25,194769.594,7257.60352,8639.49121,8087.17432
47:57.7,445992.562,1497302,194885.109,7250.34961,8631.42969,8083.14404
48:03.7,446354.781,1509776,194926.125,7250.3501,8644.33105,8101.68799
48:09.6,446067.281,1512184.88,194999.797,7226.16699,8606.43457,8021.87012
48:15.6,445215.688,1519671.63,194754.594,7249.54346,8684.64844,8058.14941
48:21.5,451320.563,1495819.5,195753.906,7253.57373,8626.5918,8034.76855
48:27.4,449664.844,1477156.37,196700.766,7318.06494,8715.29102,8115.39502
48:33.4,439706,1451018,194573.812,7371.26904,8787.86328,8171.02734
48:39.5,433669.094,1386475.13,191888.156,7351.11621,8849.95508,8044.44434
48:45.5,429448.313,1330802.88,190573.484,7374.49512,8895.91895,8025.90039
48:51.5,429273,1301298.25,189083.531,7376.91162,8937.85059,7962.20654
48:57.5,427868.625,1274424.63,187859.063,7351.92236,8978.97852,7850.14209
49:03.4,426381.563,1248466,185962.266,7339.02539,9020.10645,7715.50586
49:09.3,424189.094,1229835.5,183364.656,7343.05371,9050.74707,7647.78369
49:15.3,423051.312,1215548.25,182189.109,7358.37354,9085.42773,7617.9585
49:21.2,420411.844,1198685.88,180271.984,7343.05908,9113.65332,7601.83545
49:27.2,417929.094,1186014.75,180776,7351.12012,9154.78125,7553.46436
49:33.2,417637.125,1169553.38,181162.469,7342.25244,9159.62012,7489.77783
49:39.1,415909.906,1151474,180567.359,7335.80225,9166.07031,7452.69336
49:45.2,414567.688,1134762.75,180016.609,7340.64014,9187.03906,7444.63281
49:51.2,413701.969,1119974.37,179680.359,7314.84424,9218.49219,7413.19385
49:57.1,414470.844,1108172,179806.359,7314.8457,9249.94336,7339.02881
50:03.1,411797.156,1091173.5,180027.5,7311.61963,9259.61914,7302.75195
50:09.1,411297.625,1080256.13,178946.109,7309.19971,9291.87598,7298.7207
50:15.1,410182.625,1069718,178013.438,7310.81201,9321.71484,7259.22021
50:21.0,413515.062,1057380.62,176627.375,7295.49707,9333.81348,7214.88477
50:27.0,414499.688,1046597.13,175624.266,7291.46582,9362.04004,7166.51807
50:33.0,413837.375,1031909.06,175838.516,7291.46484,9386.23242,7152.81299
50:38.9,411813.594,1023614,174843.078,7292.27148,9406.39453,7122.98779
50:44.9,408245.938,1015950.31,175494.219,7308.396,9450.75293,7093.96924
50:50.9,408547.125,1006623.63,175238.297,7308.39648,9466.88281,7047.21582
50:56.9,406950.312,993833.5,174932.375,7283.40625,9495.91699,7037.54297
51:02.8,406778.375,986818.188,173537.859,7297.91553,9513.65723,7006.91016
51:08.7,406700.719,978134.813,173629.562,7304.36572,9543.49902,6959.35352
51:14.7,407077.687,968161.563,173652.062,7293.08008,9564.46875,6929.52881
51:20.6,406341.313,961689,172870.391,7297.10986,9583.82422,6913.40723
51:26.5,409886,955514.625,172141.328,7306.78418,9619.31055,6874.71631
51:32.5,413386.656,947370.625,172474.578,7301.94629,9643.50488,6856.98096
51:38.5,409136.938,939530.438,172886.203,7306.78223,9674.15234,6831.18848
51:44.5,406981.687,932836.875,173162.062,7318.87744,9711.25488,6802.97803
51:50.6,408036.687,923955.625,172211.375,7309.20361,9713.6748,6761.86963
51:56.6,411509.937,915253.625,171416.547,7313.2334,9733.83691,6745.74707
52:02.6,415641.75,907325.188,171692.25,7306.78369,9770.93652,6732.85059
52:08.6,413542.219,902295.25,171519.016,7310.81592,9802.39355,6698.19336
52:14.6,409249.75,894796.5,171794.766,7329.35645,9819.33008,6669.98145
52:20.6,411187.719,886879.062,173133.703,7332.58057,9854.81738,6644.1875
52:26.6,407068.938,883631.25,173167.031,7341.44727,9898.37012,6637.73828
52:32.6,411408.562,876524.563,172326.281,7330.16211,9897.56543,6594.21484
52:38.5,414060.25,869471.062,172128,7340.64209,9932.24609,6566.81006
52:44.5,411064.531,865298.375,172958.734,7352.73437,9966.12207,6543.4375
52:50.5,407759.25,859443.313,171688.203,7342.25781,9846.75684,6503.94531
52:56.4,404069.656,849062.562,169484.313,7283.40869,9332.20508,6442.68799
53:02.4,404723.625,868187.75,167432.063,7014.16895,8732.23437,6423.34473
53:08.4,394390.594,987188.625,165185.141,7004.49512,8709.6543,6568.42236
53:14.4,397012.5,1055757.13,166869.359,7012.55518,8674.17383,6688.52051
53:20.4,400026.25,1104659,168356.922,6998.04688,8629.82715,6786.05225
53:26.3,405299.156,1214573.5,172841.266,7028.67773,8548.38574,6908.57275
53:32.3,413091.531,1267292.63,176943.453,7058.50146,8550.80273,7019.00342
53:38.3,415183,1284763.38,178393.063,7076.23633,8545.96484,7103.64355
53:44.2,418620.125,1319777.63,180260.391,7090.74756,8544.35449,7177.80713
53:50.2,420463.75,1336144,181336.188,7107.67578,8545.9668,7236.65332
53:56.3,422152.25,1349455.75,182311.234,7117.35059,8558.06445,7291.47168
54:02.3,423485.156,1361137.5,182859.75,7125.41162,8558.87012,7339.83984
54:08.3,424910.188,1376789.25,183535.25,7136.69727,8566.12793,7381.75977
54:14.3,426534.5,1400768,184275.156,7151.20703,8574.99707,7436.57666
54:20.4,428185.469,1413566.13,184727.797,7163.29785,8575.80273,7469.62939
54:26.4,429545.25,1429204.13,185338.438,7163.29834,8566.93359,7504.29443
54:32.3,430562.656,1440086.75,186091.125,7171.35937,8544.35547,7536.54053
54:38.3,431994.906,1443505.75,186956.719,7172.97168,8560.48242,7562.33789
54:44.3,432701.562,1446355,187491.563,7175.38965,8554.03223,7588.94287
54:50.2,433299.531,1451275,187829.188,7181.83838,8550.80664,7613.93408
54:56.2,434352,1456748,188338.219,7177.81006,8562.90332,7634.896
55:02.2,435528.281,1468797.5,188831.344,7193.92969,8563.70703,7657.46729
55:08.2,436287.969,1473316.25,189198.328,7185.86914,8545.16113,7663.11084
55:14.2,437111.031,1483749.62,189867.156,7200.37891,8570.1582,7687.29639
55:20.3,438135.281,1485808.12,190505.156,7203.60449,8566.12793,7710.67676
55:26.3,439340.437,1495055.13,191250.234,7216.50049,8578.2207,7735.66748
55:32.3,441307.344,1506251.63,191842.391,7218.91943,8579.02734,7748.56689
55:38.2,441802.75,1506394,192046.516,7213.27832,8566.12793,7763.88672
55:44.2,442023.219,1508112,192366.875,7218.91895,8575.80273,7776.78467
55:50.1,442602.875,1514560.38,192529.953,7233.42969,8586.28516,7801.77734
55:56.1,443143.187,1515524.63,192932.359,7236.6543,8585.47949,7820.3208
56:02.0,443307.469,1520439.25,193734.719,7242.29687,8587.09082,7833.22021
