Time,A1,A17,A21,B3,B7,B11
25:58.8,455119.844,1717376.25,202964.469,6936.8042,8903.20996,6303.27002
26:04.8,456384.562,1714137,203665.297,6953.73096,8940.30469,6334.70312
26:10.7,456641.75,1707621.25,203367.672,6952.11865,8912.88574,6337.92676
26:16.7,456260.375,1722556.5,203947.875,6967.43506,8895.14551,6355.65771
26:22.6,459084.031,1735659,204713.359,6998.87061,8935.46387,6430.61377
26:28.6,460543.594,1743053,206478,7025.47217,8949.97949,6506.37842
26:34.6,461953.406,1746554,207363.937,7051.26807,8963.68945,6556.35156
26:40.6,463163.344,1742171.5,207729.719,7064.16504,8949.17383,6592.62158
26:46.6,463767.469,1737611.25,207403.344,7069.00293,8928.20996,6608.74365
26:52.6,463808.969,1730805.25,206824.453,7069.80811,8916.11328,6620.02734
26:58.7,464597.563,1727619.25,208261.688,7073.03223,8910.4668,6638.56494
27:04.6,464191.781,1736928.88,207917.687,7093.18506,8977.39844,6683.70312
27:10.6,463144.844,1740778.63,208401.031,7099.6333,8920.94922,6713.52539
27:16.6,464244.688,1736462.63,208544.484,7111.72363,8920.14258,6737.70605
27:22.5,466078.094,1755736,208936.437,7118.97998,8904.82227,6769.94873
27:28.4,466171.719,1759173,209176.453,7121.39697,8938.68945,6768.33594
27:34.4,465791.219,1756624.38,209093.266,7118.17041,8883.85156,6761.88574
27:40.4,469096.031,1771346.88,209983.047,7142.35498,8932.2373,6832.81982
27:46.4,470247.594,1780853.12,211628.594,7160.08936,8954.00977,6882.79541
27:52.3,471190.812,1778141,212035.828,7181.854,9004.81348,6915.84326
27:58.3,471259.719,1769933,211928.344,7187.49658,8946.75195,6931.96533
28:04.3,472494.813,1768566.88,212251.672,7185.88477,8923.36523,6934.38232
28:10.4,473448.219,1778172.38,212871.469,7197.97559,8925.78516,6971.46338
28:16.2,474006.031,1788042.5,213987.906,7214.10107,8935.46484,7011.76904
28:22.2,474509.781,1788434.62,214097.063,7228.60889,8945.13867,7040.78613
28:28.2,474966.656,1776535.63,213890.391,7235.86426,8931.43164,7039.98096
28:34.1,477249.625,1790460.63,214454.953,7245.53613,8954.00781,7064.96777
28:40.1,477445.875,1788496.75,214534.703,7245.53516,8930.62207,7061.74316
28:46.1,475900.281,1783286.62,214191.969,7243.92432,8982.23242,7066.57959
28:52.2,474928.625,1779760.12,214766.594,7247.14648,8958.03809,7062.54785
28:58.2,476811.813,1795413.62,215275.828,7259.24072,8954.00879,7102.04883
29:04.2,477697.094,1793497.5,215483.359,7267.2998,8944.3291,7123.00488
29:10.2,477581.969,1791253.37,215382.484,7281.00342,8929.81348,7122.19873
29:16.1,477225.5,1780708.62,215343.844,7264.88184,8911.26758,7107.68896
29:22.1,475980.563,1782096.87,214959.828,7261.65674,8909.6543,7089.95508
29:28.0,477560.625,1781619.37,214576.672,7239.08496,8893.52637,7072.2207
29:34.0,477977.344,1783515.5,214582.563,7248.75879,8895.13965,7061.7417
29:39.9,479033.5,1780547.12,215008.563,7260.85059,8925.78223,7092.37305
29:45.8,480392.531,1794192,215931.219,7276.97168,8930.61816,7127.83984
29:51.9,480798.531,1785927.5,216388.391,7296.31885,8941.10156,7151.21777
29:57.9,480119,1790713.38,216364.078,7296.31982,8966.10156,7160.08594
30:03.9,481092.531,1786078.75,216136.359,7293.09668,8924.16992,7160.89258
30:10.0,478783.125,1785499.75,217050.797,7310.83057,9013.67871,7179.43164
30:16.0,479951.781,1789426,217413.094,7318.89111,8950.77832,7185.07422
30:22.0,479034.219,1776263.38,216704.453,7325.33936,8951.58496,7217.31885
30:28.0,477666.813,1779098.63,216433.813,7322.92285,8929.00781,7218.12695
30:33.9,478575.25,1777462.87,216530.531,7322.92285,8922.55664,7213.28955
30:39.9,480255.313,1781120.38,216641.406,7328.56543,8929.00684,7228.60449
30:45.9,481774.844,1798489.63,218061.266,7341.46191,8952.39062,7251.98145
30:51.8,483509.063,1804569.63,218913.859,7356.77881,8982.22754,7298.73779
30:57.8,483114.219,1804353.63,219197.25,7336.62451,8949.16406,7268.90869
31:03.7,483327.375,1797173.25,219745.531,7378.54297,8987.87012,7308.40918
31:09.7,486084.438,1761090.75,220268.734,7374.51367,8930.61719,7281.80713
31:15.7,482453.531,1708518.13,219296.422,7369.6748,8992.70801,7276.16357
31:21.8,476349.812,1641615.5,216516.969,7338.2373,8997.5498,7079.47412
31:27.8,472694.094,1585647.38,214769,7351.93994,9031.41602,7023.04443
31:33.8,469428.344,1511113.13,212623.469,7314.05029,9013.67285,6939.21143
31:39.8,465273.688,1437766,210729.125,7268.90771,9031.41602,6877.14502
31:45.7,460361.469,1386974.5,208671.766,7240.69238,9054.80078,6785.25391
31:51.7,456154,1358218.87,205959.344,7188.29541,9053.18848,6712.71143
31:57.6,455313.938,1326006.88,204151.312,7162.49951,9074.96094,6622.43457
32:03.6,453858.281,1300812.13,202095.75,7160.07861,9126.57031,6564.3999
