Time,A1,A17,A21,B3,B7,B11
19:22.9,499480.656,1983769.5,233906.641,7116.52637,8782.20703,6127.54004
19:28.9,499284.406,1973454.88,234579.719,7142.3208,8703.18359,6138.82324
19:34.8,497855.625,1972251.37,232508.516,7121.36377,8670.125,6079.99121
19:40.7,496669.688,1981299.75,234697.047,7128.62012,8687.05957,6122.70752
19:46.7,500392.25,2001933.62,234239.922,7115.72314,8711.25195,6067.90381
19:52.7,500279.344,1981358.5,233994.406,7126.19971,8700.76563,6124.31738
19:58.7,500027.813,1982929.12,235969.188,7102.82324,8612.06738,6126.73535
20:04.6,500587.625,1986405.37,233951.422,7116.52783,8726.57129,6192.01758
20:10.6,499401.75,1987320.38,233542.344,7119.75049,8762.85547,6188.79199
20:16.6,498756.906,1980280.5,233816.422,7125.39209,8649.96387,6197.65674
20:22.6,498100.625,1975337.25,233842.516,7151.1875,8614.48438,6261.32715
20:28.6,495712.656,1973368.13,234238.953,7147.15674,8670.12207,6276.64014
20:34.6,496723.656,1969715.87,233177.141,7147.96338,8541.91504,6311.29736
20:40.6,498233.938,1982596.12,235088.391,7160.05518,8724.14941,6310.49219
20:46.6,499831.469,1995614.37,237124.375,7185.8501,8629,6379.80615
20:52.5,499334.25,1976388.25,235601.391,7207.61865,8679.80273,6375.77783
20:58.4,497325.719,1963733.12,234636.297,7209.22949,8622.55078,6383.83691
21:04.4,496161.969,1984056.87,234695.375,7195.52686,8652.3877,6384.64404
21:10.3,496087.438,1981334.75,233704.328,7192.30176,8610.45508,6412.0459
21:16.4,495705.688,1979147.38,234168.984,7225.35059,8588.68359,6439.44922
21:22.4,496651.062,1989399.12,235460.5,7218.90283,8658.03027,6437.03174
21:28.4,496829.406,1986832.88,235965.812,7235.83057,8614.48535,6484.58496
21:34.5,500498.719,2005403.75,236651.031,7241.4751,8570.13965,6485.3916
21:40.5,500611.562,1995804.5,237597.078,7238.25049,8630.61523,6445.89795
21:46.5,502228.562,1990024.38,236767.453,7224.5459,8613.68066,6404.79199
21:52.4,500716.312,1994173.25,235361.75,7221.3208,8592.71484,6416.88184
21:58.4,502528.969,2000410.88,235821.594,7254.37305,8713.66895,6483.7793
22:04.4,504203.406,2005838.12,238800.797,7248.729,8837.04297,6506.34717
22:10.4,505741.562,1949715.5,238042.75,7238.25098,8599.97363,6464.43652
22:16.3,505764.687,1906084.88,236152.313,7233.41309,8591.90918,6449.92773
22:22.3,498952.344,1810404.62,234395.016,7158.44336,8551.5918,6341.11914
22:28.3,491930.719,1726908.13,232790.141,7111.68994,8477.41016,6204.91113
22:34.3,491093.656,1634566.62,231361.125,7064.93799,8457.25293,6031.63623
22:40.3,489244.344,1546351.38,228951.672,7026.24658,8399.19922,5860.78418
22:46.3,488141.906,1473492.37,227292.094,6944.83398,8396.78223,5756.82471
22:52.2,488873.063,1429938.38,226882.734,6923.87451,8442.74023,5656.09033
22:58.2,488556.562,1382007.25,226544.188,6885.9917,8418.55371,5529.57275
23:04.1,489567.125,1312159.87,225883.141,6864.22705,8392.75098,5427.23145
23:10.1,487448.906,1270232.25,225182.578,6832.79102,8427.42285,5360.34912
23:16.0,486044.688,1219427.37,224536.859,6855.35986,8493.54004,5307.97021
23:22.0,486026.844,1182261.25,223925.672,6794.09912,8459.67187,5299.10596
23:28.0,486812.688,1159394.25,223270.875,6806.19141,8445.9668,5276.54443
23:34.0,486554,1156449.25,223799.406,6822.31055,8487.08691,5220.1377
23:40.0,486421.031,1127823.13,224261.531,6826.34131,8514.50391,5167.76221
23:46.0,487160.031,1117646.62,224123.516,6799.7417,8527.40527,5123.44434
23:52.0,486918.063,1115156.88,224663.906,6792.48633,8480.63672,5092.01807
23:57.9,487574.594,1111846.13,224929.938,6786.84375,8500.79492,5063.81689
24:03.9,487869.75,1100229.13,225148.047,6762.66309,8502.40918,5038.83838
24:09.8,487494.062,1080125.88,225052.906,6751.37939,8479.83105,5020.30566
24:15.7,485341.281,1049961.87,224137.828,6759.43945,8499.99023,5003.38525
24:21.7,486927.031,1018884.13,223498.984,6780.39746,8545.14453,4976.79541
24:27.7,486811,1008971.75,224235.5,6778.78564,8541.91992,4980.01904
24:33.7,487215.937,1011190.44,224518.328,6773.94873,8509.66602,4973.57275
24:39.7,487745.719,1000007.88,224305.328,6773.94824,8555.62598,4947.7876
24:45.8,487428.469,970144.562,224213.531,6770.72412,8570.14063,4930.06201
24:51.8,488563.781,950052.25,224246.453,6745.73926,8518.53809,4897.8335
24:57.7,488670.188,936148.375,223700.141,6754.60498,8536.27637,4855.12939
25:03.7,489709.937,932523.875,224085.625,6728.81006,8539.5,4841.43018
25:09.6,490355.156,910365.875,223604.141,6702.21094,8505.63477,4834.17969
25:15.6,489111.625,898998.625,222713.812,6701.4082,8504.02539,4812.42676
25:21.5,486804.938,894639.125,222473.109,6700.6001,8507.24902,4758.44238
25:27.5,487314.313,886040.75,222931.75,6698.98828,8533.85742,4731.854
25:33.4,487775.094,879769.625,222712.078,6700.59961,8531.4375,4725.40723
25:39.4,487946.031,872446.875,222639.703,6710.27246,8565.30371,4726.21387
25:45.4,488093.25,866616,222792.844,6692.53955,8541.11426,4718.96143
25:51.4,488537.156,853902.062,222462.984,6696.57129,8562.88672,4695.59766
25:57.4,487812.344,845572.438,222554.75,6703.02002,8548.37402,4687.54102
26:03.5,488555,842298.375,222382.25,6705.43701,8550.79102,4660.14648
26:09.4,488907.688,850146.5,223493.094,6726.39355,8583.04395,4645.64307
26:15.3,489217.906,845517.312,224161.437,6709.46729,8604.01074,4641.61572
26:21.3,489659.438,836632.688,224092.453,6680.45068,8574.17676,4640.00488
26:27.3,492022.562,819696,223117.813,6669.16748,8549.9873,4630.33594
26:33.3,489328.875,804886.125,222714.656,6694.15381,8572.56348,4622.27881
26:39.3,492360.438,800169.812,222718.906,6694.96143,8564.50293,4609.38916
26:45.3,490204.812,795624.063,223270.156,6697.37842,8595.1416,4588.44043
26:51.3,490911.281,789107.25,223574.75,6714.30371,8609.6543,4579.57666
26:57.2,490904.25,788590.375,223326.5,6704.63232,8602.39941,4590.05176
27:03.2,491275.875,796469.5,223411.547,6803.77588,8425.81348,4918.78418
27:09.2,484280.594,945218.438,225477.422,6921.46094,8301.64355,5282.18799
27:15.1,496138.469,1159738.25,236475.656,7052.85059,8398.39746,5663.3457
27:21.0,502600.312,1328761,240973.547,7106.05225,8339.53613,5870.45752
27:27.0,503743.375,1412524.63,241426.344,7150.39014,8271.81152,6012.2998
27:33.0,503431.562,1471334.75,240851.219,7150.39258,8238.75488,6144.47314
27:39.0,501947.406,1518431.38,240233,7168.12451,8160.54346,6226.67822
27:44.9,502600.406,1579011.13,240452.484,7181.02051,8119.42285,6302.43799
27:51.0,503186.156,1623080.63,240322.484,7187.47119,8140.38867,6376.58936
27:57.0,501009.156,1659418.38,239934.078,7180.21582,8124.26172,6462.02344
28:03.0,498587.875,1689538.87,239941.641,7162.48242,8105.71924,6529.72803
28:09.0,496234.344,1711214.88,239789.687,7149.58496,8040.41162,6579.7002
28:15.0,494099.187,1728333.13,238027.734,7147.97217,8013,6655.4668
28:20.9,492185.844,1763992.12,237597.297,7139.10547,7957.36865,6701.40967
28:26.9,490161.375,1783392.63,237020.016,7137.49316,7925.92529,6748.16064
28:32.9,488320.406,1810535.5,237300.25,7141.52344,7963.81836,6798.13477
28:38.9,487938.437,1815452.75,237274.953,7143.13721,7982.36377,6831.99072
28:44.8,487742.719,1830323.87,236923.875,7138.30029,7937.21387,6849.72314
28:50.8,486542,1834397.13,236643.703,7129.43262,7899.32031,6889.22021
28:56.8,485602.187,1830073,235517.281,7118.14746,7881.5835,6888.41357
29:02.8,485979.437,1831236.5,234661,7097.99414,7864.65234,6865.03711
29:08.7,486153,1860472.12,235742.531,7109.27979,7909.80127,6891.6377
29:14.8,487844.563,1867328.75,236718.781,7128.62646,7964.62549,6913.40088
29:20.8,486628.844,1877759.13,238903.172,7138.2998,8011.38721,6919.85059
29:26.7,485486.125,1878251.75,237611.719,7139.10742,7979.9458,6932.74854
29:32.7,485646.438,1894652.88,236977.859,7161.67725,7958.17627,6981.1123
29:38.6,486237.25,1890375.75,237818.5,7174.57568,7958.98291,7014.96826
29:44.6,486782.219,1914230.37,237109.531,7192.31006,7997.68262,7051.24268
29:50.5,488402.094,1927579,238107.219,7180.21973,7957.37256,7086.71191
29:56.5,487429.125,1932187,237624.437,7176.18848,7942.85889,7087.51758
30:02.6,485794.437,1926051.12,236290.156,7172.15723,7922.70264,7106.86279
