Time,A1,A17,A21,B3,B7,B11
40:55.6,473249.313,1925975.62,238068.656,7109.28857,7569.59424,7363.21729
41:01.6,473377.375,1928456.38,238170.75,7098.80859,7559.91943,7366.44141
41:07.6,472270.188,1933897.25,237492.984,7096.3916,7578.46191,7372.08496
41:13.6,473106.125,1954634.13,237973.203,7103.64648,7564.75732,7395.46338
41:19.7,472938.969,1946463,237529.219,7108.48145,7559.1123,7405.13574
41:25.6,473396.75,1950324,237419.563,7096.3916,7542.98975,7389.01318
41:31.6,473304.812,1956528.75,237256.594,7097.19531,7557.49902,7385.7876
41:37.5,472497.187,1967811.5,237107.297,7097.19775,7563.95117,7409.16846
41:43.4,473172.437,1969470.25,237773.219,7102.03467,7586.52393,7419.64697
41:49.3,473541.687,1978002.5,237625.484,7112.51367,7580.87988,7427.7085
41:55.3,473365.844,1986840.75,237913.281,7116.54297,7590.55322,7443.02441
42:01.3,473139.563,1968715.5,236968.859,7110.09424,7568.78662,7449.47363
42:07.3,473548.688,1966325.25,236011.938,7117.34863,7576.84814,7464.79102
42:13.4,474054.187,1992049.62,238115.859,7114.93115,7603.45264,7467.20996
42:19.5,475237.875,2007307.75,238369.953,7118.15576,7582.49219,7460.76074
42:25.4,474534.187,2002870.25,237333.438,7118.15576,7609.90283,7464.79297
42:31.3,473665.469,1995165.13,237006.016,7124.60547,7590.55469,7459.14941
42:37.3,474531.562,2001367.62,237237.25,7118.9624,7569.59424,7450.28125
42:43.4,474663.344,2005796,236736,7123.7998,7582.49365,7459.15039
42:49.3,474567.969,2010068,237692.203,7138.30957,7628.44629,7484.94775
42:55.3,474749.125,2023387.88,237910.813,7141.53369,7625.22119,7486.55908
43:01.2,476366.969,2035831.38,237982.531,7105.25928,7556.69531,7439.80225
43:07.2,471097.031,1974054.88,229451.844,7217.30859,7598.61768,7527.67432
43:13.3,465250.313,1961134,230786.875,7242.29932,7667.14404,7227.78906
43:19.3,464906.219,1818438.63,225354.016,7411.58838,7619.57959,7244.71826
43:25.3,464794.25,1598466.88,233056.422,7372.0874,7594.58789,7193.93262
43:31.3,465588.25,1498499.37,226804.125,7488.979,7609.09814,7272.12549
43:37.3,462784.719,1370748.5,224725.047,7539.76563,7709.87061,7302.75732
43:43.2,452624.594,1224649,219535.047,7566.37012,7842.89648,7272.93164
43:49.1,446147.969,1139935.63,218904.297,7597.81104,7884.01221,7234.23633
43:55.1,442401.812,1083442.12,218712.609,7581.6875,7928.35547,7185.87061
44:01.1,441863.5,1037604.19,216248.641,7540.57373,7920.29443,7170.55566
44:07.0,444431.531,1013801,217490.141,7632.47852,7963.02588,7154.43262
44:13.0,445618.875,982295.5,218157.703,7595.39453,7996.88867,7049.64111
44:19.0,446175.313,938559.813,218002.969,7621.18994,7984.79248,7022.23145
44:25.1,447555.531,912036.25,217802,7639.73242,8005.75488,6981.92773
44:31.0,448476.344,887285,217672.594,7598.61865,8002.53223,6919.05566
44:37.0,448172.156,861743.938,217271.609,7619.58105,8026.7207,6868.27393
44:43.0,447044.812,846981.75,217280.859,7611.51904,8033.16992,6828.77686
44:49.0,449346.25,830574.812,217783.594,7622.80518,8035.58838,6791.69824
44:54.9,449179.094,811851.25,218930.422,7588.13867,8046.06982,6740.91748
45:00.9,449046.312,793442.875,217995.469,7587.3335,8056.55176,6736.88818
45:06.8,447415.875,779571.625,216859.734,7646.18506,8071.06494,6712.70752
45:12.8,444923.781,770862.812,217059.797,7618.77539,8107.34619,6710.28857
45:18.8,444159.187,758318.562,217248.094,7672.78906,8132.34082,6646.61279
45:24.8,444399.156,747312.688,217638.187,7635.70508,8150.88574,6671.6001
45:30.7,445309.656,741931.625,219191.156,7692.13867,8189.58545,6586.9668
45:36.7,445444.906,731400.25,219959,7646.99072,8171.84717,6545.0542
45:42.8,446586,718593.125,219454.453,7695.36475,8188.78125,6503.14355
45:48.7,447507.531,703226.187,220333.375,7670.37256,8184.75,6457.20117
45:54.7,448653.344,696777.438,220672.344,7701.81348,8250.05859,6441.08105
46:00.6,447918.031,696669.25,221466.453,7722.77197,8211.35352,6370.95752
46:06.6,449310.906,688024.625,223311.734,7745.34326,8298.43066,6394.33057
46:12.5,448639.063,677514.5,223841.25,7733.25391,8286.33984,6326.63086
46:18.5,447253.344,675435.875,223589.641,7755.02344,8313.75684,6321.79639
46:24.5,448685.031,668213.562,222196.828,7713.10107,8308.11133,6281.49756
46:30.5,449413.219,666102.5,223289.969,7739.7041,8347.61816,6266.18262
