Time,A1,A17,A21,B3,B7,B11
31:34.4,478598.438,1973330.25,234321.906,7121.37109,7813.86084,7193.11523
31:40.4,477968.781,1978618.5,234571.625,7127.8208,7874.32861,7212.46338
31:46.4,478219.156,1977074.87,235136.859,7120.56689,7858.20508,7213.27002
31:52.3,478680.031,1968564,233904.469,7109.28125,7792.90088,7185.05518
31:58.3,477673.344,1984914.13,234451.016,7114.92383,7813.8623,7196.34082
32:04.2,477472.562,1992357.37,233513.125,7108.47461,7790.48145,7180.21826
32:10.2,478283.625,2002740.75,233567.938,7113.31104,7802.57471,7189.08447
32:16.2,476739.469,1992798.5,233821.797,7098.80225,7796.12695,7182.6377
32:22.1,477150.844,1986427.25,232812.438,7094.77197,7763.07227,7189.08691
32:28.1,476274.406,1984106.75,232255.875,7084.2915,7759.03955,7193.92236
32:34.1,476983.656,1998381,232703.672,7077.84424,7782.42139,7183.44385
32:40.8,475070.313,1999266.13,232739,7073.00635,7809.02441,7163.28955
32:46.8,475326.656,2001812.88,233713.016,7072.2002,7746.94629,7190.69727
32:52.7,476150.625,2014871.25,233563.766,7078.64941,7750.97803,7216.49316
32:58.7,474690.188,2004137.13,233187.625,7087.51709,7734.85352,7232.61572
33:04.6,475537.906,2020944.75,233583.984,7095.57666,7755.81445,7245.51367
33:10.6,474880.219,2030433,233474.375,7083.48633,7792.0957,7251.96436
33:16.5,474368.562,2027118.5,234296.703,7087.51807,7772.74658,7259.21924
33:22.5,473422.875,2013187.63,234373.5,7091.5498,7721.15088,7266.47559
33:28.5,472640,2008137,233263.578,7093.9668,7731.63086,7270.50537
33:34.5,472096.562,2025361.13,232523.219,7085.1001,7739.69238,7271.31104
33:40.5,472588.688,2023129.63,232272.766,7084.29346,7710.66943,7290.65723
33:46.5,471888.094,2014807.25,232283.734,7091.54785,7717.11865,7289.85254
33:52.4,471858.969,2006381.5,232279.547,7100.41553,7748.56104,7313.23096
33:58.4,472921.969,2020242,231842,7099.61035,7756.62354,7329.35303
34:04.3,471933.156,2027482.75,232573.797,7105.25195,7733.24268,7348.7002
34:10.3,472405.031,2028754.62,232976.078,7108.47803,7709.86426,7364.01758
34:16.3,473130.437,2053360.12,233103.359,7127.82324,7528.47168,7298.71924
