Time,A1,A17,A21,B3,B7,B11
49:45.9,481458.063,1847574.75,243806.641,7231.81787,7616.35254,7219.72607
49:52.0,482703.531,1862031.25,242540.078,7223.75732,7606.68018,7225.37061
49:58.0,483047.063,1887137,243541.344,7229.40088,7618.77148,7240.68604
50:04.0,481563.313,1890961.5,243683.234,7226.98145,7605.87158,7248.74609
50:09.9,481343.781,1890874.88,243583.531,7218.91992,7611.51465,7239.87842
50:15.9,480025.281,1905510.25,242988.703,7217.30859,7602.64746,7224.56299
50:21.9,481031.437,1892009.5,242856.016,7223.75586,7614.73877,7244.71484
50:27.9,482993.781,1889383.13,242469.938,7216.50098,7605.06592,7227.7876
50:33.9,483929.781,1907664.13,242825.625,7214.0835,7609.90283,7227.7876
50:39.8,484839.281,1939633.25,243677.359,7232.62354,7614.73926,7264.86865
50:45.8,484737.312,1939410.5,243859.797,7227.78516,7625.21777,7261.64209
50:51.8,484452.094,1923030.63,243307.203,7237.45898,7624.4126,7274.54102
50:57.9,483616.25,1941954,243518.469,7231.01123,7615.54492,7278.57178
51:03.9,484116.563,1941624.5,243754.187,7222.94873,7610.70654,7286.63232
51:09.9,484244.875,1938090.13,243477.812,7228.59033,7619.57422,7293.08057
51:15.8,483903.063,1937491.13,242733.469,7226.17285,7616.35059,7295.5
51:21.8,483732.25,1936380.88,242213.891,7232.62158,7618.76855,7317.26514
51:27.8,484466.281,1956198.25,242693.719,7241.48779,7641.34033,7336.61182
51:33.7,484532.719,1951357.75,242621.938,7272.12158,7605.06396,7303.56152
51:39.6,481169.375,1959763.38,242208.781,7248.74316,7649.40186,7339.02881
51:45.6,479736.5,1834848.25,241113.187,7289.85498,7709.06006,7364.82617
51:51.6,478903.219,1727771.25,238747.203,7278.56982,7696.16211,7289.0498
51:57.6,476496.687,1630720.62,239121.203,7265.67139,7717.12256,7180.22363
52:03.7,477773.656,1541520.38,240680.781,7243.90576,7767.10645,7086.71436
52:09.8,478099.125,1467566.75,242457.141,7199.56982,7761.46387,7026.2583
52:15.8,478252.125,1412433.63,244744.594,7193.92773,7795.32568,6965.80322
52:21.8,478585.687,1391125.75,246104.734,7176.99902,7805.80664,6919.05078
52:27.7,480431.25,1395431.75,246461.469,7162.4873,7803.38525,6887.61279
52:33.7,481622.406,1371211.87,246483.5,7194.73389,7831.60547,6848.92334
52:39.6,483226.562,1343386.38,246529.172,7214.08008,7860.62793,6818.29248
52:45.7,484800.906,1319415,246476.656,7214.07764,7871.9126,6795.72119
52:51.6,485300.312,1283943,246605.969,7227.78076,7900.93652,6761.06055
